land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Sonstiges Europa;;6;8;0;;8;4;;5;0;;;5;;;
Schweiz;;14;22;0;;22;6;;8;0;;;8;;;
Österreich;;11;13;0;;13;8;;9;0;;;9;;;
Tschech. Republik;;5;5;0;;5;3;;3;0;;;3;;;
Finland;;2;2;0;;2;2;;2;0;;;2;;;
Luxemburg;;3;3;0;;3;3;;3;0;;;3;;;
Dänemark;;6;6;0;;6;4;;4;0;;;4;;;
Türkei;;2;2;0;;2;2;;2;0;;;2;;;
Großbritannien;;67;70;1;;71;41;;43;1;;;44;;;
Portugal;;4;4;0;;4;2;;2;0;;;2;;;
Sonstiges Afrika;;1;1;0;;1;1;;1;0;;;1;;;
Russland;;12;13;0;;13;6;;7;0;;;7;;;
Belgien;;8;8;0;;8;7;;7;0;;;7;;;
Arabische Golfstaaten;;2;2;0;;2;1;;1;0;;;1;;;
China, VR und Hongkong;;29;29;0;;29;10;;10;0;;;10;;;
Frankreich;;21;26;0;;26;12;;17;0;;;17;;;
Schweden;;12;17;0;;17;8;;11;0;;;11;;;
USA;;74;74;0;;74;23;;23;0;;;23;;;
;;3;3;0;;3;1;;1;0;;;1;;;
Sonstiges Südamerika;;2;4;0;;4;1;;2;0;;;2;;;
Italien;;11;11;0;;11;8;;8;0;;;8;;;
Brasilien;;11;11;0;;11;3;;3;0;;;3;;;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;;;
Lettland;;1;1;0;;1;1;;1;0;;;1;;;
Spanien;;9;11;0;;11;5;;6;0;;;6;;;
Niederlande;;47;68;2;;70;36;;54;0;;;54;;;
Kanada;;0;0;0;;0;0;;0;0;;;0;;;
Deutschland;;932;1202;33;;1235;634;;809;28;;;837;;;
Griechenland;;6;6;0;;6;2;;2;0;;;2;;;
Ungarn;;2;2;0;;2;1;;1;0;;;1;;;
Japan;;13;13;0;;13;4;;4;0;;;4;;;
Polen;;12;12;0;;12;6;;6;0;;;6;;;
;;;;;;;;;;;;;;;;
Total;;1329;1650;36;;1686;846;;1056;29;;;1085;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
