land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Deutschland;;870;1165;27;;1192;579;;782;15;;;797;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Spanien;;1;1;0;;1;1;;1;0;;;1;;;
Belgien;;17;24;0;;24;14;;19;0;;;19;;;
Frankreich;;14;16;0;;16;5;;6;0;;;6;;;
Japan;;28;40;0;;40;14;;20;0;;;20;;;
Norwegen;;2;4;0;;4;1;;2;0;;;2;;;
Dänemark;;7;7;0;;7;4;;4;0;;;4;;;
Australien;;7;8;0;;8;3;;4;0;;;4;;;
Schweiz;;11;19;0;;19;7;;11;0;;;11;;;
USA;;45;47;0;;47;23;;24;0;;;24;;;
Italien;;17;18;0;;18;8;;9;0;;;9;;;
Brasilien;;11;11;0;;11;4;;4;0;;;4;;;
China, VR und Hongkong;;9;11;0;;11;5;;6;0;;;6;;;
Griechenland;;2;2;0;;2;2;;2;0;;;2;;;
Schweden;;4;6;0;;6;4;;6;0;;;6;;;
Arabische Golfstaaten;;9;15;0;;15;4;;6;0;;;6;;;
Großbritannien;;111;139;0;;139;63;;78;0;;;78;;;
Portugal;;1;1;0;;1;1;;1;0;;;1;;;
Sonstiges Europa;;3;3;0;;3;3;;3;0;;;3;;;
Niederlande;;65;92;0;;92;52;;77;0;;;77;;;
Finland;;0;0;0;;0;0;;0;0;;;0;;;
Mittelamerika / Karibik;;4;5;1;;6;3;;4;1;;;5;;;
Türkei;;4;4;2;;6;3;;3;1;;;4;;;
Sonstiges Afrika;;0;0;0;;0;0;;0;0;;;0;;;
Österreich;;14;17;0;;17;9;;10;0;;;10;;;
Sonstiges Südamerika;;2;2;0;;2;1;;1;0;;;1;;;
Luxemburg;;7;9;3;;12;7;;9;3;;;12;;;
Polen;;4;6;0;;6;2;;4;0;;;4;;;
Russland;;4;8;0;;8;1;;2;0;;;2;;;
Sonstiges Asien;;2;4;0;;4;2;;4;0;;;4;;;
;;;;;;;;;;;;;;;;
Total;;1276;1685;33;;1718;826;;1103;20;;;1123;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
