land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Brasilien;;23;23;0;;23;2;;2;0;;;2;
Dänemark;;4;5;0;;5;3;;4;0;;;4;
Frankreich;;39;42;0;;42;24;;27;0;;;27;
Polen;;8;8;0;;8;5;;5;0;;;5;
Sonstiges Europa;;15;15;0;;15;5;;5;0;;;5;
Schweiz;;33;50;0;;50;15;;21;0;;;21;
Belgien;;13;13;0;;13;9;;9;0;;;9;
Italien;;33;34;0;;34;15;;16;0;;;16;
China, VR und Hongkong;;34;34;0;;34;9;;9;0;;;9;
Tschech. Republik;;8;8;0;;8;4;;4;0;;;4;
Japan;;21;21;0;;21;5;;5;0;;;5;
Luxemburg;;12;12;0;;12;10;;10;0;;;10;
Spanien;;4;4;0;;4;2;;2;0;;;2;
Mittelamerika / Karibik;;14;14;0;;14;7;;7;0;;;7;
Großbritannien;;41;43;2;;45;30;;31;2;;;33;
Norwegen;;2;2;0;;2;2;;2;0;;;2;
Schweden;;23;29;0;;29;8;;10;0;;;10;
Finland;;2;2;0;;2;0;;0;0;;;0;
Irland;;3;5;2;;7;2;;3;1;;;4;
Portugal;;4;4;0;;4;2;;2;0;;;2;
USA;;111;111;0;;111;20;;20;0;;;20;
;;1;2;0;;2;2;;2;0;;;2;
Sonstiges Afrika;;1;2;0;;2;1;;2;0;;;2;
Nordkorea;;3;3;0;;3;1;;1;0;;;1;
Sonstiges Asien;;1;1;0;;1;0;;0;0;;;0;
Russland;;2;3;0;;3;2;;3;0;;;3;
Slowakische Republik;;1;1;0;;1;1;;1;0;;;1;
Arabische Golfstaaten;;6;6;0;;6;2;;2;0;;;2;
Niederlande;;40;44;0;;44;31;;35;0;;;35;
Deutschland;;1109;1332;12;;1344;679;;830;10;;;840;
Türkei;;1;1;0;;1;1;;1;0;;;1;
Australien;;0;0;0;;0;0;;0;0;;;0;
Österreich;;14;16;0;;16;10;;11;0;;;11;
;;;;;;;;;;;;;;
Total;;1626;1890;16;;1906;909;;1082;13;;;1095;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
