land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Kanada;;4;4;0;;4;4;;4;0;;;4;
Großbritannien;;70;75;0;;75;41;;44;0;;;44;
Luxemburg;;9;9;0;;9;7;;7;0;;;7;
Sonstiges Südamerika;;2;2;0;;2;1;;1;0;;;1;
Irland;;4;7;0;;7;2;;3;0;;;3;
Frankreich;;14;14;0;;14;12;;12;0;;;12;
Niederlande;;74;86;0;;86;46;;54;0;;;54;
USA;;126;139;0;;139;54;;60;0;;;60;
Israel;;3;5;0;;5;1;;2;0;;;2;
Spanien;;4;4;0;;4;3;;3;0;;;3;
Schweden;;4;7;0;;7;4;;7;0;;;7;
Italien;;6;6;0;;6;2;;2;0;;;2;
Österreich;;28;34;0;;34;19;;22;0;;;22;
Brasilien;;6;7;0;;7;3;;4;0;;;4;
Deutschland;;1081;1335;27;;1362;659;;843;21;;;864;
Japan;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Asien;;7;7;0;;7;2;;2;0;;;2;
Polen;;0;0;0;;0;0;;0;0;;;0;
Schweiz;;10;17;0;;17;4;;7;0;;;7;
Türkei;;1;1;0;;1;1;;1;0;;;1;
Arabische Golfstaaten;;2;2;0;;2;1;;1;0;;;1;
China, VR und Hongkong;;22;24;0;;24;5;;6;0;;;6;
Norwegen;;1;2;0;;2;1;;2;0;;;2;
Russland;;8;11;0;;11;3;;4;0;;;4;
Süd Afrika;;20;40;0;;40;2;;4;0;;;4;
Belgien;;9;10;0;;10;8;;9;0;;;9;
;;;;;;;;;;;;;;
Total;;1516;1849;27;;1876;886;;1105;21;;;1126;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
