land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Sonstiges Asien;;44;51;0;;51;11;;15;0;;;15;
Japan;;11;11;0;;11;4;;4;0;;;4;
Süd Afrika;;1;2;0;;2;1;;2;0;;;2;
Schweden;;54;58;0;;58;11;;13;0;;;13;
Taiwan;;4;4;0;;4;1;;1;0;;;1;
Belgien;;11;13;0;;13;9;;11;0;;;11;
Finland;;0;0;0;;0;0;;0;0;;;0;
Sonstiges Europa;;15;15;0;;15;3;;3;0;;;3;
Russland;;2;3;0;;3;1;;1;0;;;1;
Türkei;;9;12;0;;12;3;;4;0;;;4;
Deutschland;;1023;1255;6;;1261;687;;865;6;;;871;
Portugal;;1;1;0;;1;1;;1;0;;;1;
Spanien;;10;17;0;;17;4;;5;0;;;5;
Großbritannien;;42;45;0;;45;33;;36;0;;;36;
Polen;;4;7;0;;7;3;;5;0;;;5;
Slowakische Republik;;3;3;0;;3;2;;2;0;;;2;
Mittelamerika / Karibik;;4;4;0;;4;2;;2;0;;;2;
Italien;;27;27;0;;27;22;;22;0;;;22;
Sonstiges Südamerika;;4;4;0;;4;2;;2;0;;;2;
Österreich;;3;4;0;;4;3;;4;0;;;4;
Arabische Golfstaaten;;3;4;0;;4;2;;3;0;;;3;
Tschech. Republik;;3;3;0;;3;3;;3;0;;;3;
Schweiz;;7;8;0;;8;6;;7;0;;;7;
Niederlande;;58;65;0;;65;38;;43;0;;;43;
China, VR und Hongkong;;35;46;0;;46;20;;30;0;;;30;
Frankreich;;18;20;0;;20;15;;17;0;;;17;
Luxemburg;;8;8;0;;8;5;;5;0;;;5;
Norwegen;;2;2;0;;2;2;;2;0;;;2;
USA;;86;113;0;;113;31;;36;0;;;36;
Dänemark;;6;8;2;;10;6;;8;2;;;10;
;;;;;;;;;;;;;;
Total;;1498;1813;8;;1821;931;;1152;8;;;1160;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
