land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Sonstiges Südamerika;;17;17;0;;17;3;;3;0;;;3;;;
Arabische Golfstaaten;;11;20;9;;29;4;;7;3;;;10;;;
Sonstiges Asien;;1;2;0;;2;1;;2;0;;;2;;;
Schweiz;;34;52;5;;57;21;;31;3;;;34;;;
Niederlande;;29;36;5;;41;24;;29;3;;;32;;;
Dänemark;;5;6;0;;6;4;;5;0;;;5;;;
Italien;;4;4;0;;4;3;;3;0;;;3;;;
Tschech. Republik;;2;2;0;;2;1;;1;0;;;1;;;
Deutschland;;914;1236;66;;1302;601;;816;44;;;860;;;
Irland;;9;17;2;;19;9;;17;2;;;19;;;
Belgien;;6;8;0;;8;5;;6;0;;;6;;;
Großbritannien;;40;51;9;;60;29;;36;6;;;42;;;
Norwegen;;8;11;4;;15;7;;9;2;;;11;;;
Russland;;1;1;0;;1;1;;1;0;;;1;;;
Slowenien;;3;3;0;;3;3;;3;0;;;3;;;
Süd Afrika;;5;5;0;;5;3;;3;0;;;3;;;
Slowakische Republik;;0;0;0;;0;0;;0;0;;;0;;;
USA;;44;48;0;;48;12;;13;0;;;13;;;
Österreich;;13;14;1;;15;9;;10;1;;;11;;;
Kanada;;3;4;0;;4;2;;3;0;;;3;;;
Finland;;1;1;0;;1;1;;1;0;;;1;;;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;;;
Luxemburg;;2;4;1;;5;2;;4;1;;;5;;;
China, VR und Hongkong;;6;7;0;;7;4;;5;0;;;5;;;
Frankreich;;3;5;0;;5;3;;5;0;;;5;;;
Polen;;3;3;0;;3;1;;1;0;;;1;;;
Australien;;1;1;0;;1;1;;1;0;;;1;;;
;;;;;;;;;;;;;;;;
Total;;1166;1559;102;;1661;755;;1016;65;;;1081;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
