land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Luxemburg;;61;66;0;;66;11;;15;0;;;15;
Österreich;;10;13;0;;13;2;;3;0;;;3;
Arabische Golfstaaten;;1;1;0;;1;1;;1;0;;;1;
China, VR und Hongkong;;30;34;0;;34;7;;8;0;;;8;
Deutschland;;1219;1427;19;;1446;497;;637;10;;;647;
Sonstiges Asien;;6;6;0;;6;5;;5;0;;;5;
Norwegen;;1;1;0;;1;0;;0;0;;;0;
Polen;;12;12;0;;12;3;;3;0;;;3;
Russland;;8;11;0;;11;5;;6;0;;;6;
Italien;;19;23;0;;23;13;;15;0;;;15;
Süd Afrika;;4;4;0;;4;2;;2;0;;;2;
Mittelamerika / Karibik;;2;2;0;;2;0;;0;0;;;0;
Estland;;4;4;0;;4;1;;1;0;;;1;
Niederlande;;19;21;0;;21;14;;16;0;;;16;
Sonstiges Südamerika;;1;2;0;;2;1;;2;0;;;2;
Schweden;;25;28;0;;28;8;;10;0;;;10;
Taiwan;;6;10;0;;10;2;;3;0;;;3;
Frankreich;;71;85;0;;85;24;;28;0;;;28;
Japan;;4;4;0;;4;3;;3;0;;;3;
Belgien;;16;16;0;;16;10;;10;0;;;10;
Großbritannien;;57;63;8;;71;32;;34;0;;;34;
Irland;;1;1;0;;1;1;;1;0;;;1;
Schweiz;;18;31;0;;31;12;;20;0;;;20;
USA;;48;51;0;;51;19;;21;0;;;21;
Türkei;;3;3;0;;3;2;;2;0;;;2;
Australien;;8;15;0;;15;1;;2;0;;;2;
Sonstiges Afrika;;0;0;0;;0;0;;0;0;;;0;
;;;;;;;;;;;;;;
Total;;1654;1934;27;;1961;676;;848;10;;;858;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
