land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Schweiz;;5;9;0;;9;3;;5;0;;;5;
USA;;53;55;0;;55;17;;19;0;;;19;
Australien;;24;48;40;;88;3;;6;4;;;10;
Slowenien;;9;9;0;;9;1;;1;0;;;1;
China, VR und Hongkong;;19;22;0;;22;6;;7;0;;;7;
Sonstiges Europa;;1;3;0;;3;2;;3;0;;;3;
Japan;;9;9;0;;9;9;;9;0;;;9;
Luxemburg;;25;30;0;;30;5;;7;0;;;7;
Großbritannien;;84;86;0;;86;50;;52;0;;;52;
Frankreich;;31;31;0;;31;19;;19;0;;;19;
Spanien;;2;2;0;;2;1;;1;0;;;1;
Arabische Golfstaaten;;1;2;0;;2;1;;2;0;;;2;
Belgien;;21;21;0;;21;12;;12;0;;;12;
Ukraine;;1;1;0;;1;1;;1;0;;;1;
Tschech. Republik;;2;2;0;;2;1;;1;0;;;1;
Litauen;;1;2;1;;3;1;;2;1;;;3;
Russland;;6;7;0;;7;4;;5;0;;;5;
Italien;;15;15;0;;15;13;;13;0;;;13;
Sonstiges Afrika;;22;22;0;;22;4;;4;0;;;4;
Niederlande;;5;6;0;;6;5;;6;0;;;6;
Finland;;4;4;0;;4;2;;2;0;;;2;
Deutschland;;1156;1333;23;;1356;579;;694;15;;;709;
Polen;;8;8;0;;8;8;;8;0;;;8;
Schweden;;14;19;2;;21;10;;15;2;;;17;
Dänemark;;5;9;0;;9;5;;9;0;;;9;
Türkei;;5;5;0;;5;2;;2;0;;;2;
Sonstiges Asien;;37;37;0;;37;6;;6;0;;;6;
Mittelamerika / Karibik;;3;3;0;;3;1;;1;0;;;1;
Österreich;;3;5;0;;5;2;;3;0;;;3;
;;;;;;;;;;;;;;
Total;;1571;1805;66;;1871;773;;915;22;;;937;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
