land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Großbritannien;;76;91;1;;92;37;;42;1;;;43;
China, VR und Hongkong;;63;68;0;;68;24;;26;0;;;26;
Tschech. Republik;;10;10;0;;10;6;;6;0;;;6;
Deutschland;;1011;1357;31;;1388;737;;981;28;;;1009;
USA;;69;73;0;;73;27;;30;0;;;30;
Italien;;13;13;0;;13;9;;9;0;;;9;
Sonstiges Südamerika;;0;0;0;;0;0;;0;0;;;0;
Portugal;;4;4;0;;4;2;;2;0;;;2;
Spanien;;10;11;0;;11;6;;7;0;;;7;
Niederlande;;49;54;0;;54;39;;43;0;;;43;
Dänemark;;9;12;0;;12;4;;5;0;;;5;
Türkei;;2;2;0;;2;1;;1;0;;;1;
Polen;;3;3;0;;3;2;;2;0;;;2;
Schweiz;;22;29;0;;29;13;;17;0;;;17;
Sonstiges Asien;;2;2;0;;2;2;;2;0;;;2;
Frankreich;;41;46;4;;50;27;;29;1;;;30;
Griechenland;;4;8;0;;8;1;;2;0;;;2;
Japan;;12;12;0;;12;9;;9;0;;;9;
Sonstiges Europa;;1;1;0;;1;1;;1;0;;;1;
Schweden;;5;7;0;;7;4;;5;0;;;5;
Mittelamerika / Karibik;;10;10;0;;10;3;;3;0;;;3;
Luxemburg;;7;9;0;;9;5;;7;0;;;7;
Belgien;;22;24;0;;24;16;;18;0;;;18;
Brasilien;;2;2;0;;2;1;;1;0;;;1;
Sonstiges Afrika;;3;3;0;;3;2;;2;0;;;2;
Finland;;1;1;0;;1;1;;1;0;;;1;
Irland;;3;4;0;;4;2;;3;0;;;3;
Israel;;4;4;0;;4;2;;2;0;;;2;
Taiwan;;8;8;0;;8;1;;1;0;;;1;
Arabische Golfstaaten;;0;0;0;;0;0;;0;0;;;0;
Österreich;;18;19;0;;19;8;;9;0;;;9;
;;;;;;;;;;;;;;
Total;;1484;1887;36;;1923;992;;1266;30;;;1296;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
