land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Island;;3;3;0;;3;0;;0;0;;;0;;;
Norwegen;;4;7;2;;9;4;;7;2;;;9;;;
Kanada;;1;1;0;;1;1;;1;0;;;1;;;
Frankreich;;13;17;0;;17;8;;11;0;;;11;;;
Schweiz;;17;27;0;;27;10;;15;0;;;15;;;
Dänemark;;5;10;0;;10;5;;10;0;;;10;;;
Irland;;1;1;0;;1;0;;0;0;;;0;;;
Niederlande;;37;45;0;;45;22;;26;0;;;26;;;
China, VR und Hongkong;;9;9;0;;9;4;;4;0;;;4;;;
USA;;23;29;8;;37;14;;16;2;;;18;;;
Italien;;9;9;0;;9;5;;5;0;;;5;;;
Österreich;;7;10;0;;10;5;;6;0;;;6;;;
Arabische Golfstaaten;;1;1;0;;1;1;;1;0;;;1;;;
Slowakische Republik;;;0;0;;0;0;;0;0;;;0;;;
Belgien;;15;21;0;;21;8;;12;0;;;12;;;
Sonstiges Asien;;10;13;6;;19;4;;5;2;;;7;;;
Japan;;2;2;0;;2;2;;2;0;;;2;;;
Russland;;6;6;0;;6;2;;2;0;;;2;;;
Schweden;;7;8;0;;8;3;;4;0;;;4;;;
Luxemburg;;8;9;0;;9;6;;7;0;;;7;;;
Polen;;2;2;0;;2;2;;2;0;;;2;;;
Spanien;;9;9;0;;9;3;;3;0;;;3;;;
Großbritannien;;72;83;0;;83;44;;52;0;;;52;;;
Deutschland;;695;898;24;;922;459;;605;14;;;619;;;
Griechenland;;11;17;0;;17;3;;5;0;;;5;;;
Sonstiges Afrika;;3;3;0;;3;2;;2;0;;;2;;;
;;;;;;;;;;;;;;;;
Total;;970;1240;40;;1280;617;;803;20;;;823;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
