land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Polen;;2;2;0;;2;1;;1;0;;;1;
Mittelamerika / Karibik;;2;4;0;;4;1;;2;0;;;2;
Schweden;;14;22;6;;28;7;;12;5;;;17;
Großbritannien;;37;41;5;;46;23;;25;3;;;28;
Sonstiges Asien;;17;18;0;;18;6;;7;0;;;7;
Japan;;4;5;0;;5;2;;3;0;;;3;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;
Spanien;;12;14;0;;14;6;;7;0;;;7;
Dänemark;;17;23;0;;23;10;;13;0;;;13;
Australien;;7;11;2;;13;5;;7;2;;;9;
Sonstiges Südamerika;;0;0;0;;0;0;;0;0;;;0;
Tschech. Republik;;3;4;0;;4;3;;4;0;;;4;
Frankreich;;25;26;0;;26;17;;18;0;;;18;
Griechenland;;1;2;1;;3;1;;2;1;;;3;
Luxemburg;;37;39;0;;39;10;;12;0;;;12;
Schweiz;;14;21;3;;24;8;;12;2;;;14;
Türkei;;0;0;0;;0;0;;0;0;;;0;
China, VR und Hongkong;;48;48;0;;48;23;;23;0;;;23;
Finland;;4;5;0;;5;4;;5;0;;;5;
Sonstiges Europa;;3;6;2;;8;2;;4;1;;;5;
Norwegen;;2;2;0;;2;1;;1;0;;;1;
Niederlande;;33;44;3;;47;32;;43;3;;;46;
Belgien;;23;32;2;;34;12;;20;2;;;22;
Italien;;24;25;0;;25;16;;17;0;;;17;
Österreich;;33;33;0;;33;9;;9;0;;;9;
;;4;4;0;;4;1;;1;0;;;1;
USA;;61;61;2;;63;19;;19;1;;;20;
Deutschland;;1301;1518;43;;1561;625;;760;16;;;776;
Russland;;2;2;0;;2;1;;1;0;;;1;
;;;;;;;;;;;;;;
Total;;1731;2013;69;;2082;846;;1029;36;;;1065;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
