land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Luxemburg;;13;14;0;;14;8;;9;0;;;9;
China, VR und Hongkong;;20;21;0;;21;7;;8;0;;;8;
Großbritannien;;63;64;0;;64;32;;33;0;;;33;
Irland;;9;9;0;;9;5;;5;0;;;5;
Schweden;;3;3;0;;3;3;;3;0;;;3;
Australien;;3;3;0;;3;1;;1;0;;;1;
Deutschland;;978;1179;11;;1190;734;;876;7;;;883;
Ungarn;;3;6;0;;6;1;;2;0;;;2;
Island;;2;2;0;;2;1;;1;0;;;1;
Sonstiges Asien;;5;6;0;;6;3;;4;0;;;4;
Polen;;5;7;0;;7;5;;7;0;;;7;
Schweiz;;28;43;0;;43;15;;22;0;;;22;
Japan;;0;0;0;;0;0;;0;0;;;0;
Russland;;23;23;0;;23;10;;10;0;;;10;
Niederlande;;50;57;0;;57;28;;34;0;;;34;
Österreich;;16;16;0;;16;7;;7;0;;;7;
Brasilien;;2;2;0;;2;1;;1;0;;;1;
Frankreich;;28;28;0;;28;23;;23;0;;;23;
Norwegen;;3;3;0;;3;2;;2;0;;;2;
Dänemark;;36;41;0;;41;15;;20;0;;;20;
Neuseeland und Ozeanien;;2;2;0;;2;1;;1;0;;;1;
Arabische Golfstaaten;;6;6;0;;6;1;;1;0;;;1;
Spanien;;4;4;0;;4;3;;3;0;;;3;
USA;;70;70;0;;70;12;;12;0;;;12;
Belgien;;18;22;0;;22;12;;14;0;;;14;
Italien;;13;13;0;;13;9;;9;0;;;9;
Türkei;;2;2;0;;2;2;;2;0;;;2;
;;;;;;;;;;;;;;
Total;;1405;1646;11;;1657;941;;1110;7;;;1117;
;;;;;;;;;;;;;;
