land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Tschech. Republik;;1;2;0;;2;1;;2;0;;;2;
Russland;;10;16;0;;16;4;;5;0;;;5;
USA;;101;111;0;;111;25;;25;0;;;25;
Deutschland;;910;1188;11;;1199;622;;803;10;;;813;
Sonstiges Asien;;71;77;0;;77;13;;15;0;;;15;
Polen;;2;3;0;;3;1;;1;0;;;1;
Niederlande;;89;96;1;;97;47;;52;1;;;53;
Dänemark;;10;12;0;;12;10;;12;0;;;12;
Schweden;;71;73;0;;73;18;;19;0;;;19;
Schweiz;;16;20;0;;20;11;;14;0;;;14;
Belgien;;6;6;0;;6;2;;2;0;;;2;
Finland;;6;6;0;;6;2;;2;0;;;2;
China, VR und Hongkong;;15;16;0;;16;11;;12;0;;;12;
Norwegen;;6;6;0;;6;4;;4;0;;;4;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;
Spanien;;15;15;0;;15;7;;7;0;;;7;
Australien;;3;3;0;;3;1;;1;0;;;1;
Sonstiges Europa;;4;4;0;;4;2;;2;0;;;2;
Frankreich;;63;63;0;;63;12;;12;0;;;12;
Griechenland;;1;2;0;;2;1;;2;0;;;2;
Irland;;2;2;0;;2;1;;1;0;;;1;
Italien;;12;12;0;;12;7;;7;0;;;7;
Türkei;;6;8;0;;8;3;;4;0;;;4;
Kanada;;4;7;0;;7;3;;5;0;;;5;
Arabische Golfstaaten;;5;5;0;;5;2;;2;0;;;2;
Großbritannien;;114;123;0;;123;48;;51;0;;;51;
Luxemburg;;7;7;0;;7;5;;5;0;;;5;
Österreich;;29;44;0;;44;13;;18;0;;;18;
;;;;;;;;;;;;;;
Total;;1580;1928;12;;1940;877;;1086;11;;;1097;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
