land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Arabische Golfstaaten;;9;9;0;;9;5;;5;0;;;5;
Luxemburg;;1;1;0;;1;1;;1;0;;;1;
Schweden;;7;10;0;;10;4;;6;0;;;6;
Taiwan;;2;2;0;;2;1;;1;0;;;1;
Österreich;;12;12;0;;12;5;;5;0;;;5;
Großbritannien;;48;53;3;;56;34;;39;3;;;42;
Sonstiges Asien;;12;19;0;;19;6;;9;0;;;9;
Japan;;1;1;0;;1;1;;1;0;;;1;
Litauen;;4;4;0;;4;1;;1;0;;;1;
Spanien;;9;9;0;;9;5;;5;0;;;5;
Niederlande;;52;54;0;;54;33;;35;0;;;35;
Deutschland;;709;940;10;;950;498;;669;10;;;679;
Israel;;0;0;0;;0;0;;0;0;;;0;
Polen;;4;4;0;;4;1;;1;0;;;1;
Italien;;15;15;0;;15;9;;9;0;;;9;
Australien;;4;8;0;;8;2;;4;0;;;4;
Sonstiges Afrika;;4;4;0;;4;2;;2;0;;;2;
Irland;;6;12;0;;12;2;;4;0;;;4;
Süd Afrika;;0;0;0;;0;0;;0;0;;;0;
Belgien;;15;17;0;;17;10;;12;0;;;12;
Brasilien;;6;8;0;;8;1;;1;0;;;1;
China, VR und Hongkong;;11;13;4;;17;5;;7;4;;;11;
Tschech. Republik;;2;2;0;;2;2;;2;0;;;2;
Norwegen;;5;9;0;;9;5;;9;0;;;9;
Türkei;;0;0;0;;0;0;;0;0;;;0;
Finland;;2;2;0;;2;2;;2;0;;;2;
Portugal;;1;1;0;;1;1;;1;0;;;1;
Schweiz;;18;30;0;;30;9;;13;0;;;13;
Estland;;2;2;0;;2;1;;1;0;;;1;
Frankreich;;38;47;0;;47;16;;17;0;;;17;
Island;;0;0;0;;0;0;;0;0;;;0;
Lettland;;4;6;4;;10;2;;3;2;;;5;
Russland;;26;34;0;;34;4;;5;0;;;5;
USA;;78;88;8;;96;31;;34;2;;;36;
Dänemark;;5;8;2;;10;5;;8;2;;;10;
;;;;;;;;;;;;;;
Total;;1112;1424;31;;1455;704;;912;23;;;935;
