land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Kanada;;1;2;0;;2;1;;2;0;;;2;;;
Großbritannien;;59;66;0;;66;38;;41;0;;;41;;;
Irland;;3;3;0;;3;2;;2;0;;;2;;;
Spanien;;2;2;0;;2;2;;2;0;;;2;;;
Schweiz;;7;9;0;;9;6;;7;0;;;7;;;
Österreich;;4;4;0;;4;3;;3;0;;;3;;;
Tschech. Republik;;5;5;0;;5;2;;2;0;;;2;;;
Italien;;23;23;0;;23;10;;10;0;;;10;;;
Griechenland;;1;1;0;;1;1;;1;0;;;1;;;
Russland;;9;12;0;;12;5;;7;0;;;7;;;
Sonstiges Asien;;4;4;0;;4;1;;1;0;;;1;;;
USA;;55;57;0;;57;21;;23;0;;;23;;;
Deutschland;;730;893;19;;912;506;;604;16;;;620;;;
Sonstiges Afrika;;1;1;0;;1;1;;1;0;;;1;;;
Niederlande;;43;47;0;;47;33;;36;0;;;36;;;
China, VR und Hongkong;;14;14;0;;14;7;;7;0;;;7;;;
Finland;;4;4;0;;4;2;;2;0;;;2;;;
Luxemburg;;6;6;0;;6;4;;4;0;;;4;;;
Polen;;8;8;0;;8;4;;4;0;;;4;;;
Belgien;;27;28;0;;28;21;;22;0;;;22;;;
Ukraine;;4;4;0;;4;2;;2;0;;;2;;;
Portugal;;4;4;0;;4;2;;2;0;;;2;;;
Schweden;;6;6;0;;6;6;;6;0;;;6;;;
Dänemark;;1;1;0;;1;1;;1;0;;;1;;;
Süd Afrika;;0;0;0;;0;0;;0;0;;;0;;;
Taiwan;;4;4;0;;4;1;;1;0;;;1;;;
Türkei;;2;2;0;;2;2;;2;0;;;2;;;
Sonstiges Südamerika;;0;0;0;;0;0;;0;0;;;0;;;
Frankreich;;47;49;0;;49;26;;27;0;;;27;;;
Mittelamerika / Karibik;;3;3;0;;3;1;;1;0;;;1;;;
;;;;;;;;;;;;;;;;
Total;;1077;1262;19;;1281;711;;823;16;;;839;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
