land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Großbritannien;;41;55;3;;58;21;;24;2;;;26;;;
Luxemburg;;7;9;0;;9;6;;7;0;;;7;;;
Spanien;;4;6;2;;8;3;;4;1;;;5;;;
USA;;63;63;0;;63;18;;18;0;;;18;;;
Polen;;3;3;0;;3;2;;2;0;;;2;;;
Schweiz;;22;35;3;;38;10;;14;2;;;16;;;
Frankreich;;20;20;0;;20;10;;10;0;;;10;;;
Italien;;9;12;0;;12;4;;5;0;;;5;;;
Tschech. Republik;;2;2;0;;2;2;;2;0;;;2;;;
Niederlande;;56;69;0;;69;49;;60;0;;;60;;;
Australien;;2;4;0;;4;1;;2;0;;;2;;;
Süd Afrika;;6;6;0;;6;2;;2;0;;;2;;;
Schweden;;3;4;0;;4;3;;4;0;;;4;;;
Neuseeland und Ozeanien;;4;4;0;;4;2;;2;0;;;2;;;
Zypern;;5;8;0;;8;0;;0;0;;;0;;;
Portugal;;2;2;0;;2;1;;1;0;;;1;;;
Mittelamerika / Karibik;;21;21;0;;21;3;;3;0;;;3;;;
Belgien;;20;31;2;;33;11;;16;1;;;17;;;
China, VR und Hongkong;;50;50;0;;50;12;;12;0;;;12;;;
Dänemark;;1;2;0;;2;1;;2;0;;;2;;;
Österreich;;4;4;0;;4;2;;2;0;;;2;;;
;;1;1;0;;1;1;;1;0;;;1;;;
Finland;;1;1;0;;1;1;;1;0;;;1;;;
Deutschland;;718;930;20;;950;531;;683;16;;;699;;;
Russland;;4;5;0;;5;2;;3;0;;;3;;;
;;;;;;;;;;;;;;;;
Total;;1069;1347;30;;1377;698;;880;22;;;902;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
