land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Brasilien;;1;1;0;;1;1;;1;0;;;1;
Finland;;2;2;0;;2;2;;2;0;;;2;
Frankreich;;23;24;0;;24;11;;12;0;;;12;
Deutschland;;1313;1496;11;;1507;565;;672;8;;;680;
Schweden;;9;10;0;;10;4;;5;0;;;5;
Österreich;;11;11;0;;11;8;;8;0;;;8;
Sonstiges Europa;;1;1;0;;1;1;;1;0;;;1;
Großbritannien;;44;46;3;;49;29;;31;3;;;34;
Luxemburg;;34;35;0;;35;5;;6;0;;;6;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;
Spanien;;2;2;0;;2;2;;2;0;;;2;
Italien;;19;19;0;;19;11;;11;0;;;11;
Irland;;1;1;0;;1;1;;1;0;;;1;
Russland;;25;25;0;;25;10;;10;0;;;10;
Slowakische Republik;;1;2;0;;2;1;;2;0;;;2;
USA;;45;45;0;;45;12;;12;0;;;12;
Dänemark;;2;2;0;;2;2;;2;0;;;2;
Niederlande;;32;35;0;;35;21;;24;0;;;24;
Türkei;;3;3;0;;3;2;;2;0;;;2;
Mittelamerika / Karibik;;2;2;0;;2;2;;2;0;;;2;
Polen;;8;8;0;;8;6;;6;0;;;6;
Sonstiges Afrika;;0;0;0;;0;0;;0;0;;;0;
Australien;;2;2;0;;2;1;;1;0;;;1;
Israel;;1;1;0;;1;1;;1;0;;;1;
Japan;;2;2;0;;2;1;;1;0;;;1;
Schweiz;;19;29;0;;29;9;;13;0;;;13;
;;1;1;0;;1;1;;1;0;;;1;
China, VR und Hongkong;;47;47;0;;47;18;;18;0;;;18;
Sonstiges Asien;;11;11;0;;11;7;;7;0;;;7;
Sonstiges Südamerika;;0;0;0;;0;0;;0;0;;;0;
Norwegen;;2;3;2;;5;2;;3;2;;;5;
Belgien;;12;13;0;;13;10;;11;0;;;11;
;;;;;;;;;;;;;;
Total;;1676;1880;16;;1896;747;;869;13;;;882;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
