land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
China, VR und Hongkong;;27;27;0;;27;4;;4;0;;;4;
Japan;;34;34;0;;34;13;;13;0;;;13;
Schweiz;;17;27;0;;27;9;;13;0;;;13;
Dänemark;;2;2;0;;2;2;;2;0;;;2;
Österreich;;22;34;0;;34;6;;8;0;;;8;
Luxemburg;;4;5;0;;5;3;;4;0;;;4;
Schweden;;14;14;0;;14;5;;5;0;;;5;
Taiwan;;0;0;0;;0;0;;0;0;;;0;
USA;;43;46;0;;46;14;;15;0;;;15;
Belgien;;21;21;0;;21;11;;11;0;;;11;
Türkei;;33;34;0;;34;13;;14;0;;;14;
Brasilien;;0;0;0;;0;0;;0;0;;;0;
Sonstiges Asien;;38;40;0;;40;6;;8;0;;;8;
Polen;;5;9;0;;9;3;;5;0;;;5;
Großbritannien;;97;106;0;;106;49;;53;0;;;53;
Norwegen;;2;2;0;;2;2;;2;0;;;2;
Griechenland;;5;6;0;;6;1;;1;0;;;1;
Sonstiges Europa;;17;17;0;;17;6;;6;0;;;6;
Frankreich;;26;26;0;;26;8;;8;0;;;8;
Deutschland;;959;1203;35;;1238;556;;735;20;;;755;
Niederlande;;21;24;0;;24;17;;20;0;;;20;
Süd Afrika;;6;6;0;;6;2;;2;0;;;2;
Spanien;;1;2;0;;2;1;;2;0;;;2;
Russland;;10;10;0;;10;5;;5;0;;;5;
Italien;;6;8;0;;8;5;;6;0;;;6;
;;;;;;;;;;;;;;
Total;;1410;1703;35;;1738;741;;942;20;;;962;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
