land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Sonstiges Afrika;;5;5;0;;5;1;;1;0;;;1;
Polen;;8;11;0;;11;3;;5;0;;;5;
Russland;;9;10;0;;10;6;;7;0;;;7;
USA;;60;70;11;;81;23;;27;3;;;30;
Belgien;;10;12;0;;12;6;;8;0;;;8;
;;5;5;0;;5;1;;1;0;;;1;
Frankreich;;16;20;0;;20;12;;15;0;;;15;
Deutschland;;853;1148;71;;1219;605;;810;39;;;849;
Spanien;;7;8;0;;8;7;;8;0;;;8;
Arabische Golfstaaten;;27;38;0;;38;8;;10;0;;;10;
Finland;;1;1;0;;1;1;;1;0;;;1;
Japan;;6;6;0;;6;1;;1;0;;;1;
Mittelamerika / Karibik;;0;0;0;;0;0;;0;0;;;0;
Slowakische Republik;;1;1;0;;1;1;;1;0;;;1;
Slowenien;;2;2;0;;2;2;;2;0;;;2;
Schweiz;;28;41;10;;51;13;;19;5;;;24;
Tschech. Republik;;2;2;0;;2;1;;1;0;;;1;
Luxemburg;;4;4;0;;4;2;;2;0;;;2;
Türkei;;7;7;0;;7;4;;4;0;;;4;
China, VR und Hongkong;;21;22;0;;22;8;;9;0;;;9;
Griechenland;;1;2;1;;3;0;;0;0;;;0;
Norwegen;;5;8;1;;9;5;;8;1;;;9;
Portugal;;0;0;0;;0;0;;0;0;;;0;
Schweden;;3;6;0;;6;3;;6;0;;;6;
Kanada;;3;5;0;;5;2;;3;0;;;3;
Ungarn;;2;4;2;;6;2;;4;2;;;6;
Sonstiges Asien;;9;9;0;;9;4;;4;0;;;4;
Sonstiges Europa;;1;2;0;;2;1;;2;0;;;2;
Niederlande;;66;72;5;;77;49;;54;2;;;56;
Großbritannien;;121;127;5;;132;74;;77;3;;;80;
Süd Afrika;;4;4;0;;4;4;;4;0;;;4;
Dänemark;;6;8;2;;10;4;;5;2;;;7;
Italien;;13;14;0;;14;8;;9;0;;;9;
Österreich;;14;14;0;;14;6;;6;0;;;6;
;;;;;;;;;;;;;;
Total;;1320;1688;108;;1796;867;;1114;57;;;1171;
;;;;;;;;;;;;;;
