land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Frankreich;;41;49;0;;49;30;;34;0;;;34;
Japan;;6;7;0;;7;4;;5;0;;;5;
USA;;46;48;0;;48;11;;12;0;;;12;
Ukraine;;2;4;0;;4;2;;4;0;;;4;
Tschech. Republik;;15;18;0;;18;6;;7;0;;;7;
Island;;0;0;0;;0;0;;0;0;;;0;
Sonstiges Südamerika;;2;2;0;;2;1;;1;0;;;1;
China, VR und Hongkong;;34;35;0;;35;9;;10;0;;;10;
Schweden;;0;0;0;;0;0;;0;0;;;0;
Finland;;2;2;0;;2;1;;1;0;;;1;
Ungarn;;3;6;0;;6;0;;0;0;;;0;
Luxemburg;;4;6;0;;6;3;;5;0;;;5;
Norwegen;;1;2;0;;2;1;;2;0;;;2;
Niederlande;;61;87;7;;94;50;;70;3;;;73;
Arabische Golfstaaten;;2;2;0;;2;1;;1;0;;;1;
Großbritannien;;75;77;7;;84;47;;49;3;;;52;
Russland;;2;2;0;;2;1;;1;0;;;1;
Spanien;;20;26;3;;29;8;;10;1;;;11;
Deutschland;;1153;1482;58;;1540;676;;883;28;;;911;
Sonstiges Asien;;6;7;0;;7;4;;5;0;;;5;
Schweiz;;24;28;0;;28;14;;16;0;;;16;
Belgien;;5;5;0;;5;5;;5;0;;;5;
Italien;;8;8;0;;8;6;;6;0;;;6;
Türkei;;4;4;0;;4;1;;1;0;;;1;
Österreich;;24;24;0;;24;5;;5;0;;;5;
Sonstiges Afrika;;1;1;0;;1;1;;1;0;;;1;
Süd Afrika;;24;24;0;;24;2;;2;0;;;2;
Neuseeland und Ozeanien;;0;0;0;;0;0;;0;0;;;0;
Irland;;4;4;0;;4;2;;2;0;;;2;
Dänemark;;9;11;0;;11;7;;8;0;;;8;
;;;;;;;;;;;;;;
Total;;1578;1971;75;;2046;898;;1146;35;;;1181;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
