land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Großbritannien;;103;107;0;;107;50;;51;0;;;51;
Frankreich;;81;87;0;;87;27;;30;0;;;30;
Russland;;2;3;0;;3;2;;3;0;;;3;
Spanien;;13;13;0;;13;7;;7;0;;;7;
Italien;;9;9;0;;9;5;;5;0;;;5;
Österreich;;21;21;0;;21;13;;13;0;;;13;
Griechenland;;4;4;0;;4;1;;1;0;;;1;
Irland;;1;1;0;;1;1;;1;0;;;1;
Niederlande;;71;80;3;;83;36;;41;3;;;44;
;;1;1;0;;1;1;;1;0;;;1;
Deutschland;;1043;1380;22;;1402;652;;857;16;;;873;
USA;;61;67;0;;67;20;;22;0;;;22;
Belgien;;15;20;0;;20;10;;13;0;;;13;
China, VR und Hongkong;;24;28;0;;28;12;;14;0;;;14;
Lettland;;3;4;0;;4;3;;4;0;;;4;
Luxemburg;;9;9;0;;9;6;;6;0;;;6;
Schweden;;92;92;0;;92;18;;18;0;;;18;
Dänemark;;3;4;0;;4;2;;3;0;;;3;
Australien;;12;19;0;;19;2;;3;0;;;3;
Brasilien;;3;4;0;;4;2;;3;0;;;3;
Sonstiges Asien;;32;32;0;;32;4;;4;0;;;4;
Japan;;6;6;0;;6;3;;3;0;;;3;
Polen;;0;0;0;;0;0;;0;0;;;0;
Süd Afrika;;2;2;0;;2;0;;0;0;;;0;
Sonstiges Afrika;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Europa;;9;9;0;;9;3;;3;0;;;3;
Norwegen;;5;5;0;;5;3;;3;0;;;3;
Schweiz;;39;49;1;;50;18;;22;1;;;23;
;;;;;;;;;;;;;;
Total;;1665;2057;26;;2083;902;;1132;20;;;1152;
