land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Russland;;8;11;0;;11;3;;4;0;;;4;;;
Dänemark;;8;12;1;;13;5;;8;1;;;9;;;
Ukraine;;2;4;0;;4;1;;2;0;;;2;;;
;;0;0;0;;0;0;;0;0;;;0;;;
Finland;;2;2;0;;2;2;;2;0;;;2;;;
Polen;;1;1;0;;1;1;;1;0;;;1;;;
Spanien;;1;2;0;;2;1;;2;0;;;2;;;
Tschech. Republik;;4;5;0;;5;3;;4;0;;;4;;;
Frankreich;;20;20;0;;20;11;;11;0;;;11;;;
Israel;;8;8;0;;8;2;;2;0;;;2;;;
Norwegen;;7;7;0;;7;4;;4;0;;;4;;;
Mittelamerika / Karibik;;6;6;0;;6;1;;1;0;;;1;;;
Belgien;;10;10;0;;10;10;;10;0;;;10;;;
Großbritannien;;70;71;3;;74;40;;41;3;;;44;;;
Deutschland;;907;1196;49;;1245;601;;814;31;;;845;;;
Ungarn;;1;1;0;;1;1;;1;0;;;1;;;
Türkei;;4;4;0;;4;1;;1;0;;;1;;;
Australien;;6;12;12;;24;1;;2;2;;;4;;;
China, VR und Hongkong;;20;38;0;;38;2;;3;0;;;3;;;
Irland;;2;2;0;;2;1;;1;0;;;1;;;
Luxemburg;;18;21;1;;22;13;;16;1;;;17;;;
Portugal;;1;1;0;;1;1;;1;0;;;1;;;
Süd Afrika;;7;7;0;;7;2;;2;0;;;2;;;
USA;;42;42;0;;42;10;;10;0;;;10;;;
Italien;;6;7;0;;7;4;;5;0;;;5;;;
Arabische Golfstaaten;;2;2;0;;2;1;;1;0;;;1;;;
Schweden;;14;14;0;;14;5;;5;0;;;5;;;
Schweiz;;20;25;0;;25;12;;15;0;;;15;;;
Niederlande;;40;45;0;;45;34;;38;0;;;38;;;
Österreich;;12;18;0;;18;8;;12;0;;;12;;;
;;;;;;;;;;;;;;;;
Total;;1249;1594;66;;1660;781;;1019;38;;;1057;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
