land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Luxemburg;;5;6;0;;6;5;;6;0;;;6;
Norwegen;;5;7;0;;7;5;;7;0;;;7;
Sonstiges Europa;;18;18;0;;18;6;;6;0;;;6;
Slowenien;;5;6;0;;6;3;;4;0;;;4;
Italien;;69;70;0;;70;24;;25;0;;;25;
Sonstiges Afrika;;8;9;0;;9;4;;5;0;;;5;
Großbritannien;;88;88;3;;91;44;;44;2;;;46;
Irland;;1;1;0;;1;1;;1;0;;;1;
Russland;;20;36;3;;39;7;;12;1;;;13;
Süd Afrika;;3;3;0;;3;1;;1;0;;;1;
Schweiz;;16;20;0;;20;8;;9;0;;;9;
USA;;81;101;0;;101;31;;35;0;;;35;
Belgien;;17;19;0;;19;9;;11;0;;;11;
China, VR und Hongkong;;15;15;0;;15;5;;5;0;;;5;
Österreich;;14;14;0;;14;8;;8;0;;;8;
Deutschland;;1006;1264;13;;1277;635;;789;7;;;796;
Spanien;;4;4;0;;4;2;;2;0;;;2;
Frankreich;;41;46;0;;46;16;;18;0;;;18;
Israel;;10;10;15;;25;2;;2;3;;;5;
Japan;;3;3;0;;3;1;;1;0;;;1;
Niederlande;;70;79;0;;79;40;;47;0;;;47;
;;4;4;0;;4;2;;2;0;;;2;
Ungarn;;4;4;0;;4;1;;1;0;;;1;
Türkei;;2;2;0;;2;1;;1;0;;;1;
Australien;;3;6;0;;6;1;;2;0;;;2;
Griechenland;;7;12;0;;12;2;;3;0;;;3;
Sonstiges Asien;;55;55;0;;55;3;;3;0;;;3;
Schweden;;21;24;0;;24;12;;14;0;;;14;
Dänemark;;8;10;0;;10;4;;5;0;;;5;
;;;;;;;;;;;;;;
Total;;1603;1936;34;;1970;883;;1069;13;;;1082;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
