land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Finland;;1;1;0;;1;1;;1;0;;;1;
Slowakische Republik;;;0;0;;0;0;;0;0;;;0;
China, VR und Hongkong;;39;39;0;;39;5;;5;0;;;5;
Großbritannien;;60;65;0;;65;36;;39;0;;;39;
Frankreich;;20;20;0;;20;14;;14;0;;;14;
Italien;;12;12;0;;12;8;;8;0;;;8;
Sonstiges Südamerika;;5;5;0;;5;2;;2;0;;;2;
Sonstiges Asien;;31;32;0;;32;5;;6;0;;;6;
Irland;;8;10;0;;10;5;;6;0;;;6;
Israel;;2;2;0;;2;1;;1;0;;;1;
Mittelamerika / Karibik;;6;6;0;;6;2;;2;0;;;2;
Griechenland;;2;2;0;;2;2;;2;0;;;2;
Ungarn;;5;5;0;;5;1;;1;0;;;1;
Island;;1;1;0;;1;1;;1;0;;;1;
Niederlande;;44;54;0;;54;33;;41;0;;;41;
Belgien;;9;9;0;;9;7;;7;0;;;7;
Brasilien;;4;5;0;;5;3;;4;0;;;4;
Norwegen;;2;2;0;;2;2;;2;0;;;2;
Spanien;;8;10;0;;10;8;;10;0;;;10;
Schweden;;3;4;1;;5;2;;3;1;;;4;
Tschech. Republik;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Afrika;;10;18;0;;18;2;;3;0;;;3;
Luxemburg;;40;43;0;;43;11;;12;0;;;12;
Süd Afrika;;;0;0;;0;0;;0;0;;;0;
Schweiz;;23;33;1;;34;14;;19;1;;;20;
USA;;68;79;0;;79;28;;31;0;;;31;
Dänemark;;1;1;0;;1;1;;1;0;;;1;
Österreich;;21;22;0;;22;10;;11;0;;;11;
Deutschland;;1112;1367;35;;1402;645;;818;20;;;838;
Polen;;4;6;0;;6;2;;3;0;;;3;
Russland;;6;10;0;;10;4;;6;0;;;6;
Arabische Golfstaaten;;5;10;0;;10;1;;2;0;;;2;
;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Europa;;4;8;0;;8;1;;2;0;;;2;
Japan;;0;0;0;;0;0;;0;0;;;0;
;;;;;;;;;;;;;;
Total;;1558;1883;37;;1920;859;;1065;22;;;1087;
