land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
China, VR und Hongkong;;30;30;0;;30;9;;9;0;;;9;;;
Tschech. Republik;;2;2;0;;2;0;;0;0;;;0;;;
Irland;;4;4;0;;4;1;;1;0;;;1;;;
Japan;;17;27;0;;27;6;;8;0;;;8;;;
Arabische Golfstaaten;;26;31;0;;31;1;;2;0;;;2;;;
USA;;34;35;0;;35;16;;16;0;;;16;;;
Sonstiges Afrika;;4;4;0;;4;2;;2;0;;;2;;;
Frankreich;;14;14;0;;14;11;;11;0;;;11;;;
Polen;;2;4;0;;4;2;;4;0;;;4;;;
Taiwan;;8;8;0;;8;2;;2;0;;;2;;;
Brasilien;;6;6;0;;6;0;;0;0;;;0;;;
Ungarn;;3;3;0;;3;1;;1;0;;;1;;;
Sonstiges Asien;;16;16;0;;16;1;;1;0;;;1;;;
Schweiz;;12;17;0;;17;7;;9;0;;;9;;;
Luxemburg;;12;12;0;;12;6;;6;0;;;6;;;
Belgien;;22;27;0;;27;12;;14;0;;;14;;;
Norwegen;;2;2;0;;2;1;;1;0;;;1;;;
Niederlande;;63;72;0;;72;52;;60;0;;;60;;;
Italien;;10;10;0;;10;7;;7;0;;;7;;;
Österreich;;16;17;0;;17;9;;10;0;;;10;;;
Deutschland;;624;733;7;;740;446;;525;3;;;528;;;
Spanien;;6;9;0;;9;4;;5;0;;;5;;;
;;1;1;0;;1;1;;1;0;;;1;;;
Großbritannien;;73;80;0;;80;25;;28;0;;;28;;;
Russland;;4;4;0;;4;2;;2;0;;;2;;;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;;;
Schweden;;11;11;0;;11;2;;2;0;;;2;;;
;;;;;;;;;;;;;;;;
Total;;1023;1180;7;;1187;627;;728;3;;;731;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
