land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
China, VR und Hongkong;;12;12;0;;12;0;;0;0;;;0;;;
Deutschland;;739;1029;44;;1073;499;;698;26;;;724;;;
Japan;;1;1;0;;1;1;;1;0;;;1;;;
Spanien;;14;18;0;;18;7;;9;0;;;9;;;
Taiwan;;1;1;0;;1;0;;0;0;;;0;;;
Belgien;;9;11;0;;11;8;;9;0;;;9;;;
Italien;;0;0;0;;0;0;;0;0;;;0;;;
Luxemburg;;3;3;0;;3;2;;2;0;;;2;;;
Sonstiges Asien;;61;61;0;;61;8;;8;0;;;8;;;
Polen;;1;1;0;;1;1;;1;0;;;1;;;
Schweden;;20;20;0;;20;9;;9;0;;;9;;;
Schweiz;;21;33;0;;33;14;;19;0;;;19;;;
Australien;;1;1;0;;1;1;;1;0;;;1;;;
Österreich;;8;10;0;;10;4;;6;0;;;6;;;
Großbritannien;;70;88;6;;94;34;;41;1;;;42;;;
Dänemark;;10;16;0;;16;5;;9;0;;;9;;;
Frankreich;;11;13;0;;13;8;;10;0;;;10;;;
Sonstiges Europa;;3;3;0;;3;1;;1;0;;;1;;;
Niederlande;;97;101;0;;101;46;;49;0;;;49;;;
USA;;63;66;0;;66;20;;22;0;;;22;;;
Süd Afrika;;3;6;0;;6;1;;2;0;;;2;;;
Irland;;4;4;0;;4;2;;2;0;;;2;;;
Norwegen;;3;3;0;;3;1;;1;0;;;1;;;
Sonstiges Afrika;;0;0;0;;0;0;;0;0;;;0;;;
Türkei;;3;4;0;;4;2;;3;0;;;3;;;
;;;;;;;;;;;;;;;;
Total;;1158;1505;50;;1555;674;;903;27;;;930;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
