land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
China, VR und Hongkong;;46;46;0;;46;9;;9;0;;;9;;;
Finland;;2;3;0;;3;2;;3;0;;;3;;;
Tschech. Republik;;4;4;0;;4;2;;2;0;;;2;;;
Schweden;;10;10;0;;10;5;;5;0;;;5;;;
Taiwan;;17;17;0;;17;4;;4;0;;;4;;;
Türkei;;1;1;0;;1;1;;1;0;;;1;;;
Arabische Golfstaaten;;1;1;0;;1;1;;1;0;;;1;;;
Mittelamerika / Karibik;;36;36;0;;36;5;;5;0;;;5;;;
Großbritannien;;71;81;0;;81;49;;55;0;;;55;;;
Spanien;;6;7;0;;7;3;;4;0;;;4;;;
Schweiz;;21;35;10;;45;11;;17;2;;;19;;;
Belgien;;23;23;0;;23;10;;10;0;;;10;;;
Japan;;38;38;0;;38;6;;6;0;;;6;;;
Russland;;1;1;0;;1;1;;1;0;;;1;;;
Dänemark;;0;0;0;;0;0;;0;0;;;0;;;
Frankreich;;20;21;0;;21;13;;14;0;;;14;;;
Sonstiges Asien;;20;20;0;;20;10;;10;0;;;10;;;
Italien;;28;28;0;;28;11;;11;0;;;11;;;
Sonstiges Europa;;0;0;0;;0;0;;0;0;;;0;;;
Luxemburg;;31;33;3;;36;9;;11;3;;;14;;;
Norwegen;;18;18;0;;18;6;;6;0;;;6;;;
Polen;;17;23;0;;23;10;;14;0;;;14;;;
Australien;;1;1;0;;1;1;;1;0;;;1;;;
Deutschland;;988;1223;11;;1234;656;;822;6;;;828;;;
Irland;;3;5;0;;5;2;;3;0;;;3;;;
Niederlande;;37;44;2;;46;22;;27;1;;;28;;;
USA;;106;114;0;;114;24;;26;0;;;26;;;
Österreich;;18;20;0;;20;8;;10;0;;;10;;;
;;;;;;;;;;;;;;;;
Total;;1564;1853;26;;1879;881;;1078;12;;;1090;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
