land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Japan;;18;18;0;;18;3;;3;0;;;3;;;
Luxemburg;;14;15;0;;15;9;;10;0;;;10;;;
Portugal;;1;2;0;;2;1;;2;0;;;2;;;
;;1;1;0;;1;0;;0;0;;;0;;;
Brasilien;;5;5;0;;5;1;;1;0;;;1;;;
Großbritannien;;60;65;0;;65;37;;40;0;;;40;;;
Schweden;;6;8;0;;8;3;;4;0;;;4;;;
Niederlande;;70;78;0;;78;44;;49;0;;;49;;;
USA;;63;66;0;;66;23;;24;0;;;24;;;
Tschech. Republik;;0;0;0;;0;0;;0;0;;;0;;;
Sonstiges Afrika;;3;4;0;;4;3;;4;0;;;4;;;
Ungarn;;4;4;0;;4;2;;2;0;;;2;;;
Spanien;;7;7;0;;7;3;;3;0;;;3;;;
China, VR und Hongkong;;63;63;0;;63;9;;9;0;;;9;;;
Israel;;1;2;0;;2;1;;2;0;;;2;;;
Polen;;4;6;0;;6;2;;4;0;;;4;;;
Dänemark;;5;6;0;;6;5;;6;0;;;6;;;
Arabische Golfstaaten;;18;28;0;;28;3;;4;0;;;4;;;
Frankreich;;22;24;0;;24;7;;8;0;;;8;;;
Griechenland;;1;1;0;;1;1;;1;0;;;1;;;
Sonstiges Asien;;13;18;0;;18;5;;6;0;;;6;;;
Neuseeland und Ozeanien;;2;2;0;;2;1;;1;0;;;1;;;
Australien;;6;6;0;;6;2;;2;0;;;2;;;
Russland;;6;9;0;;9;2;;3;0;;;3;;;
Schweiz;;43;54;3;;57;13;;17;1;;;18;;;
Mittelamerika / Karibik;;13;15;0;;15;5;;6;0;;;6;;;
Belgien;;15;18;0;;18;9;;11;0;;;11;;;
Italien;;36;36;0;;36;11;;11;0;;;11;;;
Österreich;;9;14;0;;14;6;;9;0;;;9;;;
Sonstiges Südamerika;;6;6;0;;6;2;;2;0;;;2;;;
Sonstiges Europa;;1;2;0;;2;1;;2;0;;;2;;;
Süd Afrika;;2;2;0;;2;2;;2;0;;;2;;;
Deutschland;;859;1065;22;;1087;593;;740;11;;;751;;;
Taiwan;;4;4;0;;4;1;;1;0;;;1;;;
;;;;;;;;;;;;;;;;
Total;;1382;1655;25;;1680;811;;990;12;;;1002;;;
