land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Dänemark;;1;1;0;;1;1;;1;0;;;1;;;
Finland;;3;3;0;;3;2;;2;0;;;2;;;
Sonstiges Asien;;8;8;0;;8;6;;6;0;;;6;;;
Portugal;;1;1;0;;1;1;;1;0;;;1;;;
Spanien;;1;1;0;;1;1;;1;0;;;1;;;
USA;;70;72;0;;72;22;;23;0;;;23;;;
Sonstiges Europa;;1;1;0;;1;1;;1;0;;;1;;;
Luxemburg;;1;2;0;;2;1;;2;0;;;2;;;
Österreich;;18;22;0;;22;8;;10;0;;;10;;;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;;;
Polen;;5;5;0;;5;4;;4;0;;;4;;;
Niederlande;;40;40;0;;40;30;;30;0;;;30;;;
Italien;;22;23;0;;23;12;;13;0;;;13;;;
Arabische Golfstaaten;;2;2;0;;2;2;;2;0;;;2;;;
Tschech. Republik;;5;5;0;;5;2;;2;0;;;2;;;
Belgien;;8;14;0;;14;5;;8;0;;;8;;;
Kanada;;1;2;0;;2;1;;2;0;;;2;;;
China, VR und Hongkong;;23;24;1;;25;13;;14;1;;;15;;;
Großbritannien;;79;79;0;;79;39;;39;0;;;39;;;
Frankreich;;22;22;0;;22;14;;14;0;;;14;;;
Deutschland;;897;1071;49;;1120;603;;724;24;;;748;;;
Japan;;6;6;0;;6;4;;4;0;;;4;;;
Russland;;11;11;0;;11;6;;6;0;;;6;;;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;;;
Türkei;;1;1;0;;1;1;;1;0;;;1;;;
;;2;2;0;;2;1;;1;0;;;1;;;
Schweiz;;19;27;0;;27;9;;12;0;;;12;;;
Irland;;2;2;0;;2;1;;1;0;;;1;;;
Taiwan;;6;6;0;;6;2;;2;0;;;2;;;
;;;;;;;;;;;;;;;;
Total;;1257;1455;50;;1505;794;;928;25;;;953;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
