land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Sonstiges Europa;;40;48;0;;48;14;;16;0;;;16;
China, VR und Hongkong;;45;46;0;;46;14;;15;0;;;15;
Polen;;11;12;0;;12;10;;11;0;;;11;
Spanien;;5;5;0;;5;4;;4;0;;;4;
Taiwan;;8;8;0;;8;2;;2;0;;;2;
Ukraine;;0;0;0;;0;0;;0;0;;;0;
Türkei;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Südamerika;;0;0;0;;0;0;;0;0;;;0;
Schweden;;3;3;0;;3;2;;2;0;;;2;
Schweiz;;27;33;0;;33;15;;18;0;;;18;
Belgien;;32;40;0;;40;23;;29;0;;;29;
Norwegen;;3;3;0;;3;3;;3;0;;;3;
;;2;2;0;;2;2;;2;0;;;2;
Japan;;22;22;0;;22;13;;13;0;;;13;
Slowenien;;2;2;0;;2;1;;1;0;;;1;
Arabische Golfstaaten;;6;12;0;;12;2;;4;0;;;4;
Dänemark;;4;5;0;;5;4;;5;0;;;5;
Tschech. Republik;;3;5;0;;5;2;;3;0;;;3;
Sonstiges Afrika;;3;6;0;;6;1;;2;0;;;2;
Frankreich;;31;33;0;;33;18;;20;0;;;20;
Russland;;2;3;0;;3;2;;3;0;;;3;
Süd Afrika;;16;18;0;;18;6;;7;0;;;7;
Slowakische Republik;;2;2;0;;2;1;;1;0;;;1;
Österreich;;10;11;0;;11;5;;6;0;;;6;
Brasilien;;0;1;0;;1;1;;1;0;;;1;
Sonstiges Asien;;3;6;0;;6;1;;2;0;;;2;
Niederlande;;61;73;1;;74;41;;49;1;;;50;
USA;;86;86;0;;86;32;;32;0;;;32;
Australien;;1;1;0;;1;1;;1;0;;;1;
Großbritannien;;57;57;0;;57;34;;34;0;;;34;
Deutschland;;989;1178;22;;1200;699;;824;15;;;839;
Griechenland;;2;3;0;;3;2;;3;0;;;3;
Irland;;3;3;0;;3;2;;2;0;;;2;
Lettland;;1;1;0;;1;1;;1;0;;;1;
Luxemburg;;12;13;0;;13;5;;5;0;;;5;
Italien;;11;11;0;;11;7;;7;0;;;7;
;;;;;;;;;;;;;;
Total;;1504;1753;23;;1776;971;;1129;16;;;1145;
