land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Tschech. Republik;;2;2;0;;2;1;;1;0;;;1;
Großbritannien;;53;56;0;;56;41;;44;0;;;44;
Israel;;0;0;0;;0;0;;0;0;;;0;
Polen;;2;2;0;;2;2;;2;0;;;2;
Russland;;21;21;0;;21;6;;6;0;;;6;
Italien;;13;15;0;;15;8;;9;0;;;9;
Kanada;;8;16;0;;16;1;;2;0;;;2;
Deutschland;;1269;1479;7;;1486;507;;642;5;;;647;
Süd Afrika;;4;4;0;;4;1;;1;0;;;1;
Niederlande;;45;58;0;;58;29;;38;0;;;38;
Belgien;;13;14;0;;14;7;;8;0;;;8;
Ungarn;;3;6;0;;6;1;;2;0;;;2;
Schweden;;5;7;0;;7;4;;5;0;;;5;
Taiwan;;8;8;0;;8;1;;1;0;;;1;
USA;;65;67;0;;67;17;;18;0;;;18;
Griechenland;;;0;0;;0;0;;0;0;;;0;
Sonstiges Asien;;28;29;0;;29;6;;7;0;;;7;
Schweiz;;16;21;0;;21;10;;14;0;;;14;
Mittelamerika / Karibik;;6;6;0;;6;3;;3;0;;;3;
Türkei;;3;3;0;;3;2;;2;0;;;2;
China, VR und Hongkong;;35;35;0;;35;10;;10;0;;;10;
Sonstiges Europa;;6;6;0;;6;3;;3;0;;;3;
Frankreich;;89;113;0;;113;34;;41;0;;;41;
Luxemburg;;47;54;0;;54;10;;13;0;;;13;
;;2;2;0;;2;2;;2;0;;;2;
Sonstiges Afrika;;2;2;0;;2;1;;1;0;;;1;
Portugal;;;0;0;;0;0;;0;0;;;0;
Neuseeland und Ozeanien;;4;4;0;;4;1;;1;0;;;1;
Dänemark;;2;4;0;;4;2;;4;0;;;4;
Arabische Golfstaaten;;1;1;0;;1;1;;1;0;;;1;
Japan;;4;4;0;;4;2;;2;0;;;2;
Spanien;;3;3;0;;3;2;;2;0;;;2;
Österreich;;23;23;0;;23;3;;3;0;;;3;
;;;;;;;;;;;;;;
Total;;1782;2065;7;;2072;718;;888;5;;;893;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
