land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Sonstiges Europa;;1;1;0;;1;1;;1;0;;;1;
Polen;;2;2;0;;2;2;;2;0;;;2;
Niederlande;;79;86;0;;86;40;;44;0;;;44;
Dänemark;;4;4;0;;4;4;;4;0;;;4;
Deutschland;;1190;1362;13;;1375;495;;606;4;;;610;
Arabische Golfstaaten;;2;4;0;;4;1;;2;0;;;2;
Spanien;;4;4;0;;4;4;;4;0;;;4;
Kanada;;1;1;0;;1;1;;1;0;;;1;
Finland;;13;13;0;;13;13;;13;0;;;13;
Sonstiges Asien;;17;17;0;;17;1;;1;0;;;1;
Belgien;;8;11;0;;11;8;;11;0;;;11;
Türkei;;2;2;0;;2;1;;1;0;;;1;
China, VR und Hongkong;;63;63;0;;63;12;;12;0;;;12;
Mittelamerika / Karibik;;5;5;0;;5;2;;2;0;;;2;
Tschech. Republik;;2;4;0;;4;1;;2;0;;;2;
Ungarn;;6;12;0;;12;1;;2;0;;;2;
Taiwan;;2;2;0;;2;2;;2;0;;;2;
Österreich;;8;8;0;;8;5;;5;0;;;5;
Norwegen;;11;11;0;;11;2;;2;0;;;2;
Schweiz;;17;29;0;;29;11;;17;0;;;17;
USA;;58;70;7;;77;14;;15;1;;;16;
Italien;;6;6;0;;6;5;;5;0;;;5;
Japan;;2;2;0;;2;1;;1;0;;;1;
Schweden;;7;10;0;;10;5;;6;0;;;6;
Sonstiges Südamerika;;1;2;0;;2;1;;2;0;;;2;
Großbritannien;;69;70;9;;79;32;;33;3;;;36;
Luxemburg;;64;79;0;;79;19;;29;0;;;29;
Slowenien;;1;1;0;;1;1;;1;0;;;1;
Frankreich;;119;119;0;;119;36;;36;0;;;36;
Island;;4;4;0;;4;0;;0;0;;;0;
Irland;;0;0;0;;0;0;;0;0;;;0;
;;;;;;;;;;;;;;
Total;;1768;2004;29;;2033;721;;862;8;;;870;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
