land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Arabische Golfstaaten;;2;2;0;;2;1;;1;0;;;1;
Ungarn;;0;0;0;;0;0;;0;0;;;0;
USA;;66;79;4;;83;26;;29;0;;;29;
Sonstiges Afrika;;13;13;0;;13;2;;2;0;;;2;
Sonstiges Europa;;6;6;0;;6;3;;3;0;;;3;
Lettland;;3;3;0;;3;3;;3;0;;;3;
Litauen;;1;1;0;;1;1;;1;0;;;1;
Schweden;;5;8;0;;8;3;;5;0;;;5;
Belgien;;15;22;0;;22;11;;17;0;;;17;
Tschech. Republik;;3;3;0;;3;2;;2;0;;;2;
Großbritannien;;88;92;0;;92;43;;46;0;;;46;
Frankreich;;28;36;0;;36;17;;21;0;;;21;
Deutschland;;964;1195;21;;1216;671;;846;13;;;859;
Luxemburg;;1;2;0;;2;1;;2;0;;;2;
Dänemark;;14;14;0;;14;5;;5;0;;;5;
Österreich;;42;45;1;;46;16;;18;1;;;19;
Japan;;4;4;0;;4;2;;2;0;;;2;
Sonstiges Asien;;15;15;0;;15;3;;3;0;;;3;
Spanien;;2;2;0;;2;1;;1;0;;;1;
Italien;;17;17;0;;17;12;;12;0;;;12;
Finland;;2;2;0;;2;1;;1;0;;;1;
Israel;;4;4;0;;4;2;;2;0;;;2;
Portugal;;0;0;0;;0;0;;0;0;;;0;
Schweiz;;48;64;4;;68;19;;25;2;;;27;
Kanada;;7;7;0;;7;3;;3;0;;;3;
China, VR und Hongkong;;8;10;0;;10;7;;9;0;;;9;
Polen;;1;1;0;;1;1;;1;0;;;1;
Russland;;0;0;0;;0;0;;0;0;;;0;
Niederlande;;32;37;0;;37;22;;26;0;;;26;
;;;;;;;;;;;;;;
Total;;1391;1684;30;;1714;878;;1086;16;;;1102;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
