land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Japan;;15;15;0;;15;7;;7;0;;;7;
Taiwan;;7;7;0;;7;1;;1;0;;;1;
China, VR und Hongkong;;46;46;0;;46;12;;12;0;;;12;
Sonstiges Europa;;1;2;0;;2;1;;2;0;;;2;
Tschech. Republik;;6;6;0;;6;4;;4;0;;;4;
Finland;;2;2;0;;2;2;;2;0;;;2;
Frankreich;;25;26;0;;26;17;;18;0;;;18;
Polen;;11;16;0;;16;7;;10;0;;;10;
Portugal;;4;4;0;;4;3;;3;0;;;3;
Dänemark;;16;16;0;;16;7;;7;0;;;7;
;;2;2;0;;2;1;;1;0;;;1;
Deutschland;;1128;1447;29;;1476;658;;877;16;;;893;
Luxemburg;;11;13;0;;13;11;;13;0;;;13;
Russland;;4;4;0;;4;3;;3;0;;;3;
Großbritannien;;56;62;2;;64;31;;31;0;;;31;
Niederlande;;28;34;3;;37;23;;29;3;;;32;
USA;;64;67;0;;67;23;;24;0;;;24;
Sonstiges Südamerika;;1;1;0;;1;1;;1;0;;;1;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;
Australien;;8;8;0;;8;4;;4;0;;;4;
Mittelamerika / Karibik;;8;8;0;;8;4;;4;0;;;4;
Norwegen;;14;27;6;;33;5;;9;2;;;11;
Schweden;;5;5;0;;5;3;;3;0;;;3;
Schweiz;;23;31;6;;37;14;;18;2;;;20;
Sonstiges Asien;;16;18;0;;18;4;;5;0;;;5;
Italien;;39;39;0;;39;13;;13;0;;;13;
Österreich;;7;7;0;;7;4;;4;0;;;4;
Brasilien;;1;1;0;;1;1;;1;0;;;1;
Spanien;;2;2;0;;2;2;;2;0;;;2;
Belgien;;18;22;4;;26;12;;15;2;;;17;
;;;;;;;;;;;;;;
Total;;1569;1939;50;;1989;879;;1124;25;;;1149;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
