land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
China, VR und Hongkong;;7;7;0;;7;2;;2;0;;;2;
Polen;;2;2;0;;2;1;;1;0;;;1;
Russland;;3;3;0;;3;1;;1;0;;;1;
Schweiz;;4;7;0;;7;3;;5;0;;;5;
USA;;6;6;0;;6;4;;4;0;;;4;
Sonstiges Afrika;;2;2;0;;2;1;;1;0;;;1;
Belgien;;17;17;0;;17;8;;8;0;;;8;
Zypern;;2;2;0;;2;1;;1;0;;;1;
Großbritannien;;71;75;0;;75;33;;35;0;;;35;
Luxemburg;;50;56;0;;56;12;;17;0;;;17;
Arabische Golfstaaten;;2;2;0;;2;1;;1;0;;;1;
Dänemark;;4;4;0;;4;4;;4;0;;;4;
Türkei;;2;2;0;;2;1;;1;0;;;1;
Sonstiges Asien;;33;44;0;;44;3;;5;0;;;5;
Niederlande;;5;5;0;;5;4;;4;0;;;4;
Italien;;11;11;0;;11;9;;9;0;;;9;
Frankreich;;6;6;0;;6;4;;4;0;;;4;
Spanien;;3;6;0;;6;2;;4;0;;;4;
Kanada;;2;4;0;;4;1;;2;0;;;2;
Japan;;5;5;0;;5;2;;2;0;;;2;
Sonstiges Südamerika;;2;2;0;;2;2;;2;0;;;2;
Israel;;2;4;0;;4;1;;2;0;;;2;
Deutschland;;1358;1568;32;;1600;425;;519;10;;;529;
Sonstiges Europa;;1;1;0;;1;1;;1;0;;;1;
Irland;;1;1;0;;1;1;;1;0;;;1;
Norwegen;;1;1;0;;1;1;;1;0;;;1;
Schweden;;9;9;0;;9;3;;3;0;;;3;
Österreich;;8;8;0;;8;1;;1;0;;;1;
;;;;;;;;;;;;;;
Total;;1619;1860;32;;1892;532;;641;10;;;651;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
