land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Japan;;2;3;0;;3;2;;3;0;;;3;;;
Polen;;8;10;0;;10;6;;7;0;;;7;;;
Mittelamerika / Karibik;;4;4;0;;4;1;;1;0;;;1;;;
Niederlande;;67;77;6;;83;42;;49;3;;;52;;;
Arabische Golfstaaten;;0;0;0;;0;0;;0;0;;;0;;;
Italien;;21;29;0;;29;7;;10;0;;;10;;;
Deutschland;;667;936;10;;946;462;;635;6;;;641;;;
Luxemburg;;2;2;0;;2;2;;2;0;;;2;;;
Schweden;;11;12;0;;12;6;;7;0;;;7;;;
Süd Afrika;;2;4;0;;4;1;;2;0;;;2;;;
Schweiz;;13;16;0;;16;11;;14;0;;;14;;;
Australien;;5;10;0;;10;2;;4;0;;;4;;;
Tschech. Republik;;3;3;0;;3;2;;2;0;;;2;;;
USA;;35;35;0;;35;14;;14;0;;;14;;;
Brasilien;;1;1;0;;1;1;;1;0;;;1;;;
China, VR und Hongkong;;16;18;0;;18;2;;3;0;;;3;;;
Frankreich;;12;15;0;;15;7;;9;0;;;9;;;
Dänemark;;4;6;0;;6;4;;6;0;;;6;;;
Türkei;;5;10;0;;10;1;;2;0;;;2;;;
Sonstiges Asien;;2;4;0;;4;1;;2;0;;;2;;;
Sonstiges Südamerika;;2;2;0;;2;1;;1;0;;;1;;;
Israel;;2;3;0;;3;2;;3;0;;;3;;;
;;3;3;0;;3;2;;2;0;;;2;;;
Ungarn;;2;2;0;;2;1;;1;0;;;1;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Norwegen;;5;7;0;;7;5;;7;0;;;7;;;
Russland;;18;30;0;;30;4;;6;0;;;6;;;
Österreich;;8;12;0;;12;6;;8;0;;;8;;;
Großbritannien;;65;71;2;;73;34;;38;2;;;40;;;
Sonstiges Europa;;2;4;0;;4;1;;2;0;;;2;;;
Spanien;;32;54;0;;54;7;;10;0;;;10;;;
Belgien;;12;16;0;;16;9;;12;0;;;12;;;
;;;;;;;;;;;;;;;;
Total;;1032;1400;18;;1418;647;;864;11;;;875;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
