land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Luxemburg;;1;1;0;;1;1;;1;0;;;1;;;
Brasilien;;0;0;0;;0;0;;0;0;;;0;;;
Sonstiges Asien;;14;16;0;;16;3;;3;0;;;3;;;
Schweiz;;15;24;0;;24;8;;12;0;;;12;;;
Arabische Golfstaaten;;3;3;0;;3;2;;2;0;;;2;;;
Japan;;2;2;0;;2;2;;2;0;;;2;;;
Polen;;4;4;0;;4;2;;2;0;;;2;;;
Russland;;11;15;0;;15;5;;7;0;;;7;;;
Schweden;;2;3;0;;3;2;;3;0;;;3;;;
Mittelamerika / Karibik;;12;12;0;;12;4;;4;0;;;4;;;
Tschech. Republik;;1;1;0;;1;1;;1;0;;;1;;;
Finland;;3;3;0;;3;2;;2;0;;;2;;;
Deutschland;;774;1014;22;;1036;519;;674;16;;;690;;;
Niederlande;;40;54;1;;55;23;;31;0;;;31;;;
China, VR und Hongkong;;9;9;0;;9;3;;3;0;;;3;;;
USA;;45;49;0;;49;9;;9;0;;;9;;;
Dänemark;;4;4;0;;4;3;;3;0;;;3;;;
Türkei;;0;0;0;;0;0;;0;0;;;0;;;
Frankreich;;23;23;0;;23;13;;13;0;;;13;;;
Ungarn;;7;14;0;;14;2;;4;0;;;4;;;
Süd Afrika;;2;2;0;;2;2;;2;0;;;2;;;
Spanien;;9;9;3;;12;4;;4;1;;;5;;;
Italien;;10;10;0;;10;6;;6;0;;;6;;;
Ukraine;;3;3;0;;3;3;;3;0;;;3;;;
Österreich;;9;10;0;;10;5;;6;0;;;6;;;
;;0;0;0;;0;0;;0;0;;;0;;;
Großbritannien;;29;29;2;;31;18;;18;1;;;19;;;
Norwegen;;4;6;0;;6;2;;3;0;;;3;;;
Belgien;;18;26;0;;26;9;;13;0;;;13;;;
;;;;;;;;;;;;;;;;
Total;;1054;1346;28;;1374;653;;831;18;;;849;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
