land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
;;5;5;0;;5;1;;1;0;;;1;
Sonstiges Asien;;80;80;0;;80;9;;9;0;;;9;
Schweiz;;28;43;0;;43;15;;22;0;;;22;
USA;;27;27;0;;27;7;;7;0;;;7;
Österreich;;10;15;0;;15;8;;11;0;;;11;
Deutschland;;1049;1283;13;;1296;717;;857;8;;;865;
Belgien;;25;33;0;;33;20;;26;0;;;26;
Großbritannien;;91;91;0;;91;39;;39;0;;;39;
Ungarn;;1;1;0;;1;1;;1;0;;;1;
Norwegen;;20;20;0;;20;6;;6;0;;;6;
Taiwan;;0;0;0;;0;0;;0;0;;;0;
Tschech. Republik;;1;2;0;;2;1;;2;0;;;2;
Luxemburg;;8;8;0;;8;7;;7;0;;;7;
Süd Afrika;;5;5;0;;5;3;;3;0;;;3;
Italien;;17;17;0;;17;11;;11;0;;;11;
Schweden;;39;39;0;;39;4;;4;0;;;4;
Niederlande;;36;43;0;;43;30;;36;0;;;36;
Kanada;;0;0;0;;0;0;;0;0;;;0;
Frankreich;;20;22;0;;22;15;;16;0;;;16;
Irland;;2;2;0;;2;2;;2;0;;;2;
Japan;;31;31;0;;31;2;;2;0;;;2;
Polen;;0;0;0;;0;0;;0;0;;;0;
Russland;;4;4;0;;4;4;;4;0;;;4;
Slowakische Republik;;1;1;0;;1;1;;1;0;;;1;
Dänemark;;5;9;0;;9;3;;5;0;;;5;
Brasilien;;6;6;0;;6;3;;3;0;;;3;
China, VR und Hongkong;;35;35;0;;35;6;;6;0;;;6;
Arabische Golfstaaten;;49;56;0;;56;3;;3;0;;;3;
Sonstiges Europa;;1;1;0;;1;1;;1;0;;;1;
;;;;;;;;;;;;;;
Total;;1596;1879;13;;1892;919;;1085;8;;;1093;
