land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Deutschland;;923;1121;11;;1132;542;;678;7;;;685;
Schweden;;1;2;0;;2;1;;2;0;;;2;
Finland;;1;2;0;;2;1;;2;0;;;2;
Island;;2;2;0;;2;1;;1;0;;;1;
Luxemburg;;54;57;0;;57;13;;15;0;;;15;
Niederlande;;83;86;0;;86;40;;42;0;;;42;
Arabische Golfstaaten;;0;0;0;;0;0;;0;0;;;0;
Sonstiges Afrika;;3;3;0;;3;1;;1;0;;;1;
Ungarn;;3;5;0;;5;2;;3;0;;;3;
Irland;;4;8;0;;8;1;;2;0;;;2;
Frankreich;;37;37;0;;37;8;;8;0;;;8;
Japan;;4;4;0;;4;2;;2;0;;;2;
Nordkorea;;3;3;0;;3;1;;1;0;;;1;
Schweiz;;5;7;0;;7;5;;7;0;;;7;
Griechenland;;2;2;0;;2;1;;1;0;;;1;
Sonstiges Asien;;17;17;0;;17;8;;8;0;;;8;
Norwegen;;4;5;0;;5;2;;3;0;;;3;
Russland;;5;6;0;;6;4;;5;0;;;5;
Spanien;;5;7;0;;7;4;;6;0;;;6;
Mittelamerika / Karibik;;5;5;0;;5;2;;2;0;;;2;
Ukraine;;1;2;0;;2;1;;2;0;;;2;
Türkei;;4;4;0;;4;2;;2;0;;;2;
Australien;;0;0;0;;0;0;;0;0;;;0;
Brasilien;;7;9;0;;9;4;;5;0;;;5;
Sonstiges Europa;;6;9;0;;9;2;;3;0;;;3;
USA;;88;97;0;;97;28;;31;0;;;31;
Belgien;;15;20;0;;20;11;;14;0;;;14;
Italien;;15;15;0;;15;10;;10;0;;;10;
Österreich;;12;15;0;;15;6;;8;0;;;8;
Sonstiges Südamerika;;2;2;0;;2;1;;1;0;;;1;
Großbritannien;;42;42;0;;42;25;;25;0;;;25;
Israel;;0;0;0;;0;0;;0;0;;;0;
Lettland;;1;1;0;;1;1;;1;0;;;1;
Dänemark;;4;7;0;;7;4;;7;0;;;7;
;;;;;;;;;;;;;;
Total;;1358;1602;11;;1613;734;;898;7;;;905;
;;;;;;;;;;;;;;
