land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Griechenland;;2;4;0;;4;2;;4;0;;;4;
Russland;;7;7;0;;7;5;;5;0;;;5;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;
Italien;;21;21;0;;21;14;;14;0;;;14;
;;5;5;0;;5;2;;2;0;;;2;
Japan;;20;22;2;;24;7;;8;1;;;9;
Slowakische Republik;;7;11;0;;11;4;;6;0;;;6;
Dänemark;;1;1;0;;1;1;;1;0;;;1;
Ukraine;;0;0;0;;0;0;;0;0;;;0;
Kanada;;5;5;0;;5;2;;2;0;;;2;
Sonstiges Südamerika;;2;3;0;;3;2;;3;0;;;3;
Deutschland;;1027;1323;25;;1348;626;;802;16;;;818;
Israel;;4;4;0;;4;2;;2;0;;;2;
Australien;;2;2;0;;2;1;;1;0;;;1;
China, VR und Hongkong;;48;49;0;;49;12;;12;0;;;12;
Sonstiges Europa;;7;7;0;;7;4;;4;0;;;4;
Sonstiges Asien;;42;43;0;;43;9;;10;0;;;10;
Luxemburg;;23;26;0;;26;15;;18;0;;;18;
Portugal;;1;1;0;;1;0;;0;0;;;0;
Niederlande;;36;47;1;;48;27;;35;1;;;36;
Belgien;;13;13;0;;13;13;;13;0;;;13;
Tschech. Republik;;6;6;0;;6;5;;5;0;;;5;
Litauen;;2;2;0;;2;1;;1;0;;;1;
Slowenien;;3;6;0;;6;1;;2;0;;;2;
Spanien;;9;16;0;;16;3;;4;0;;;4;
Taiwan;;18;24;12;;36;7;;8;2;;;10;
Finland;;5;5;0;;5;4;;4;0;;;4;
Arabische Golfstaaten;;7;7;0;;7;3;;3;0;;;3;
Schweiz;;22;36;0;;36;13;;21;0;;;21;
Brasilien;;5;5;0;;5;3;;3;0;;;3;
Großbritannien;;81;93;2;;95;48;;57;2;;;59;
Frankreich;;30;30;0;;30;21;;21;0;;;21;
Polen;;19;30;1;;31;9;;14;1;;;15;
Schweden;;4;5;0;;5;3;;4;0;;;4;
Mittelamerika / Karibik;;4;6;0;;6;1;;2;0;;;2;
USA;;80;83;0;;83;28;;29;0;;;29;
Österreich;;21;21;0;;21;10;;10;0;;;10;
;;;;;;;;;;;;;;
Total;;1590;1970;43;;2013;909;;1131;23;;;1154;
