land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Finland;;3;4;0;;4;2;;3;0;;;3;
Irland;;4;8;2;;10;3;;6;1;;;7;
Israel;;11;11;0;;11;2;;2;0;;;2;
Taiwan;;3;3;0;;3;1;;1;0;;;1;
Dänemark;;3;3;0;;3;2;;2;0;;;2;
Österreich;;14;14;0;;14;7;;7;0;;;7;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Südamerika;;6;6;0;;6;2;;2;0;;;2;
Tschech. Republik;;2;2;0;;2;2;;2;0;;;2;
Sonstiges Asien;;2;4;0;;4;1;;2;0;;;2;
USA;;68;68;0;;68;27;;27;0;;;27;
Belgien;;9;19;2;;21;7;;13;1;;;14;
Australien;;2;2;0;;2;1;;1;0;;;1;
Großbritannien;;51;53;2;;55;35;;36;1;;;37;
Deutschland;;1195;1440;17;;1457;826;;1001;12;;;1013;
Polen;;7;9;0;;9;5;;6;0;;;6;
Portugal;;1;2;0;;2;1;;2;0;;;2;
Schweden;;1;1;0;;1;1;;1;0;;;1;
Schweiz;;14;25;0;;25;9;;15;0;;;15;
Türkei;;1;2;0;;2;1;;2;0;;;2;
Arabische Golfstaaten;;3;3;0;;3;2;;2;0;;;2;
China, VR und Hongkong;;16;19;3;;22;6;;7;1;;;8;
Sonstiges Europa;;8;8;0;;8;4;;4;0;;;4;
Japan;;30;60;0;;60;0;;0;0;;;0;
Süd Afrika;;5;5;0;;5;1;;1;0;;;1;
Mittelamerika / Karibik;;12;12;0;;12;4;;4;0;;;4;
Niederlande;;54;64;1;;65;42;;51;1;;;52;
Frankreich;;21;25;0;;25;17;;21;0;;;21;
Luxemburg;;;0;0;;0;0;;0;0;;;0;
Spanien;;3;5;0;;5;2;;3;0;;;3;
Italien;;17;17;0;;17;12;;12;0;;;12;
;;;;;;;;;;;;;;
Total;;1567;1895;27;;1922;1026;;1237;17;;;1254;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
