land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
China, VR und Hongkong;;4;4;0;;4;2;;2;0;;;2;;;
Niederlande;;33;39;2;;41;25;;30;2;;;32;;;
Großbritannien;;41;46;0;;46;25;;28;0;;;28;;;
Frankreich;;16;17;0;;17;10;;11;0;;;11;;;
Mittelamerika / Karibik;;4;4;0;;4;2;;2;0;;;2;;;
Sonstiges Asien;;13;17;0;;17;5;;7;0;;;7;;;
Portugal;;2;2;0;;2;1;;1;0;;;1;;;
Belgien;;20;30;0;;30;14;;20;0;;;20;;;
Österreich;;12;13;0;;13;6;;7;0;;;7;;;
Kanada;;3;6;0;;6;1;;2;0;;;2;;;
Arabische Golfstaaten;;0;0;0;;0;0;;0;0;;;0;;;
Sonstiges Südamerika;;4;4;0;;4;2;;2;0;;;2;;;
Norwegen;;1;1;0;;1;1;;1;0;;;1;;;
Polen;;7;8;0;;8;4;;5;0;;;5;;;
Russland;;13;13;0;;13;7;;7;0;;;7;;;
Schweden;;6;7;0;;7;6;;7;0;;;7;;;
USA;;34;43;0;;43;17;;22;0;;;22;;;
Dänemark;;5;9;0;;9;3;;5;0;;;5;;;
Italien;;9;9;0;;9;6;;6;0;;;6;;;
Tschech. Republik;;2;3;0;;3;1;;2;0;;;2;;;
Sonstiges Afrika;;3;3;0;;3;1;;1;0;;;1;;;
Deutschland;;735;919;14;;933;488;;609;10;;;619;;;
Luxemburg;;6;7;0;;7;5;;6;0;;;6;;;
Schweiz;;24;38;0;;38;12;;18;0;;;18;;;
;;4;4;0;;4;2;;2;0;;;2;;;
Irland;;7;9;2;;11;3;;4;1;;;5;;;
;;;;;;;;;;;;;;;;
Total;;1008;1255;18;;1273;649;;807;13;;;820;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
