land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Luxemburg;;9;9;0;;9;2;;2;0;;;2;;;
Brasilien;;2;2;0;;2;1;;1;0;;;1;;;
Großbritannien;;121;125;0;;125;53;;54;0;;;54;;;
Süd Afrika;;1;1;0;;1;0;;0;0;;;0;;;
Belgien;;22;23;0;;23;12;;13;0;;;13;;;
Italien;;7;7;0;;7;5;;5;0;;;5;;;
Deutschland;;1032;1215;26;;1241;569;;699;19;;;718;;;
Schweiz;;10;10;2;;12;8;;8;1;;;9;;;
Dänemark;;5;9;0;;9;5;;9;0;;;9;;;
China, VR und Hongkong;;13;17;0;;17;5;;7;0;;;7;;;
Irland;;3;3;0;;3;2;;2;0;;;2;;;
Schweden;;18;19;0;;19;8;;9;0;;;9;;;
Mittelamerika / Karibik;;2;2;0;;2;2;;2;0;;;2;;;
Norwegen;;2;4;0;;4;2;;4;0;;;4;;;
Sonstiges Asien;;25;25;0;;25;1;;1;0;;;1;;;
Polen;;4;4;0;;4;3;;3;0;;;3;;;
Australien;;1;1;0;;1;1;;1;0;;;1;;;
Österreich;;18;18;0;;18;7;;7;0;;;7;;;
Kanada;;1;2;0;;2;1;;2;0;;;2;;;
Frankreich;;32;33;0;;33;12;;13;0;;;13;;;
Niederlande;;26;33;0;;33;18;;25;0;;;25;;;
Israel;;10;10;0;;10;1;;1;0;;;1;;;
USA;;48;51;0;;51;18;;18;0;;;18;;;
Ukraine;;2;2;0;;2;1;;1;0;;;1;;;
;;;;;;;;;;;;;;;;
Total;;1414;1625;28;;1653;737;;887;20;;;907;;;
