land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Griechenland;;1;2;0;;2;1;;2;0;;;2;;;
Süd Afrika;;4;4;0;;4;1;;1;0;;;1;;;
Schweden;;15;15;0;;15;6;;6;0;;;6;;;
China, VR und Hongkong;;3;3;0;;3;1;;1;0;;;1;;;
Großbritannien;;124;126;0;;126;62;;62;0;;;62;;;
Finland;;2;2;0;;2;2;;2;0;;;2;;;
Österreich;;5;5;0;;5;2;;2;0;;;2;;;
Polen;;1;1;0;;1;1;;1;0;;;1;;;
Niederlande;;5;5;0;;5;5;;5;0;;;5;;;
Belgien;;17;17;0;;17;9;;9;0;;;9;;;
Tschech. Republik;;2;2;0;;2;2;;2;0;;;2;;;
Frankreich;;21;27;0;;27;10;;10;0;;;10;;;
USA;;54;54;0;;54;13;;13;0;;;13;;;
Japan;;1;1;0;;1;1;;1;0;;;1;;;
Dänemark;;7;9;0;;9;7;;9;0;;;9;;;
Sonstiges Asien;;57;57;0;;57;0;;0;0;;;0;;;
Russland;;1;1;0;;1;1;;1;0;;;1;;;
Schweiz;;12;14;0;;14;9;;10;0;;;10;;;
Italien;;16;16;0;;16;11;;11;0;;;11;;;
Türkei;;1;1;0;;1;1;;1;0;;;1;;;
Deutschland;;916;1089;8;;1097;519;;622;7;;;629;;;
Luxemburg;;2;2;0;;2;2;;2;0;;;2;;;
Norwegen;;3;3;0;;3;3;;3;0;;;3;;;
Spanien;;5;5;0;;5;4;;4;0;;;4;;;
;;;;;;;;;;;;;;;;
Total;;1275;1461;8;;1469;673;;780;7;;;787;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
