land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Finland;;6;7;0;;7;4;;5;0;;;5;;;
Sonstiges Europa;;4;4;0;;4;3;;3;0;;;3;;;
Luxemburg;;22;22;0;;22;9;;9;0;;;9;;;
Schweden;;9;9;0;;9;4;;4;0;;;4;;;
Schweiz;;18;23;6;;29;13;;16;4;;;20;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Belgien;;12;13;0;;13;7;;8;0;;;8;;;
Türkei;;1;1;0;;1;1;;1;0;;;1;;;
Österreich;;10;10;0;;10;5;;5;0;;;5;;;
Russland;;2;2;0;;2;1;;1;0;;;1;;;
Sonstiges Afrika;;2;2;0;;2;1;;1;0;;;1;;;
;;6;6;0;;6;3;;3;0;;;3;;;
Kanada;;1;1;0;;1;1;;1;0;;;1;;;
Sonstiges Asien;;17;17;0;;17;5;;5;0;;;5;;;
Mittelamerika / Karibik;;8;8;0;;8;2;;2;0;;;2;;;
USA;;62;66;0;;66;22;;22;0;;;22;;;
China, VR und Hongkong;;31;33;0;;33;15;;17;0;;;17;;;
Litauen;;4;4;0;;4;1;;1;0;;;1;;;
Italien;;7;7;0;;7;4;;4;0;;;4;;;
Arabische Golfstaaten;;1;1;0;;1;1;;1;0;;;1;;;
Niederlande;;44;49;0;;49;31;;35;0;;;35;;;
Tschech. Republik;;8;8;0;;8;4;;4;0;;;4;;;
Großbritannien;;48;51;0;;51;32;;34;0;;;34;;;
Frankreich;;24;26;0;;26;11;;11;0;;;11;;;
Deutschland;;839;985;9;;994;528;;633;6;;;639;;;
Portugal;;2;2;0;;2;1;;1;0;;;1;;;
Spanien;;4;5;0;;5;2;;3;0;;;3;;;
;;;;;;;;;;;;;;;;
Total;;1193;1363;15;;1378;712;;831;10;;;841;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
