land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Sonstiges Asien;;33;36;0;;36;3;;4;0;;;4;;;
Irland;;4;4;0;;4;2;;2;0;;;2;;;
Norwegen;;2;2;0;;2;1;;1;0;;;1;;;
Polen;;0;0;0;;0;0;;0;0;;;0;;;
Süd Afrika;;0;0;0;;0;0;;0;0;;;0;;;
Arabische Golfstaaten;;34;62;0;;62;0;;0;0;;;0;;;
China, VR und Hongkong;;68;72;0;;72;12;;14;0;;;14;;;
Niederlande;;49;50;0;;50;27;;28;0;;;28;;;
Österreich;;27;27;0;;27;12;;12;0;;;12;;;
;;2;2;0;;2;1;;1;0;;;1;;;
Frankreich;;23;25;0;;25;9;;10;0;;;10;;;
Israel;;1;1;0;;1;1;;1;0;;;1;;;
Luxemburg;;9;9;0;;9;5;;5;0;;;5;;;
Australien;;1;1;0;;1;0;;0;0;;;0;;;
Tschech. Republik;;4;4;0;;4;2;;2;0;;;2;;;
Mittelamerika / Karibik;;8;8;0;;8;2;;2;0;;;2;;;
Slowakische Republik;;5;5;0;;5;1;;1;0;;;1;;;
Belgien;;34;34;0;;34;14;;14;0;;;14;;;
Dänemark;;2;4;0;;4;2;;4;0;;;4;;;
Brasilien;;2;2;0;;2;2;;2;0;;;2;;;
Schweden;;14;14;0;;14;7;;7;0;;;7;;;
Großbritannien;;73;74;0;;74;46;;47;0;;;47;;;
Deutschland;;800;973;8;;981;553;;683;4;;;687;;;
Griechenland;;1;1;0;;1;1;;1;0;;;1;;;
Japan;;9;9;0;;9;3;;3;0;;;3;;;
Taiwan;;3;3;0;;3;1;;1;0;;;1;;;
Finland;;2;2;0;;2;2;;2;0;;;2;;;
Spanien;;5;5;0;;5;3;;3;0;;;3;;;
Schweiz;;17;23;0;;23;11;;15;0;;;15;;;
USA;;89;89;0;;89;27;;27;0;;;27;;;
Italien;;17;17;0;;17;8;;8;0;;;8;;;
Türkei;;3;3;0;;3;3;;3;0;;;3;;;
;;;;;;;;;;;;;;;;
Total;;1341;1561;8;;1569;761;;903;4;;;907;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
