land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Sonstiges Asien;;25;25;0;;25;5;;5;0;;;5;
Taiwan;;0;0;0;;0;0;;0;0;;;0;
Belgien;;5;5;0;;5;5;;5;0;;;5;
Dänemark;;12;12;0;;12;5;;5;0;;;5;
Sonstiges Europa;;24;25;0;;25;12;;13;0;;;13;
Irland;;8;16;2;;18;1;;2;0;;;2;
Polen;;8;8;0;;8;6;;6;0;;;6;
Schweiz;;16;27;0;;27;11;;18;0;;;18;
Österreich;;26;28;2;;30;13;;14;1;;;15;
Sonstiges Südamerika;;7;7;0;;7;3;;3;0;;;3;
Großbritannien;;91;105;5;;110;54;;58;2;;;60;
Finland;;2;2;0;;2;2;;2;0;;;2;
Deutschland;;1080;1406;64;;1470;727;;942;39;;;981;
Australien;;1;2;0;;2;1;;2;0;;;2;
Arabische Golfstaaten;;5;9;4;;13;2;;3;1;;;4;
Israel;;3;3;0;;3;1;;1;0;;;1;
Luxemburg;;6;8;6;;14;4;;6;3;;;9;
Norwegen;;1;2;0;;2;0;;0;0;;;0;
Kanada;;8;16;0;;16;1;;2;0;;;2;
Tschech. Republik;;4;4;0;;4;2;;2;0;;;2;
Frankreich;;33;39;1;;40;22;;25;1;;;26;
Ungarn;;1;2;0;;2;1;;2;0;;;2;
Russland;;10;10;0;;10;5;;5;0;;;5;
Italien;;18;18;0;;18;11;;11;0;;;11;
Türkei;;4;4;0;;4;3;;3;0;;;3;
China, VR und Hongkong;;49;49;0;;49;15;;15;0;;;15;
Griechenland;;5;5;0;;5;1;;1;0;;;1;
Spanien;;8;15;0;;15;2;;3;0;;;3;
Schweden;;5;7;0;;7;3;;5;0;;;5;
Niederlande;;38;41;0;;41;27;;30;0;;;30;
USA;;94;106;0;;106;27;;30;0;;;30;
Brasilien;;5;9;0;;9;2;;3;0;;;3;
Neuseeland und Ozeanien;;2;2;0;;2;1;;1;0;;;1;
Mittelamerika / Karibik;;0;0;0;;0;0;;0;0;;;0;
;;;;;;;;;;;;;;
Total;;1604;2017;84;;2101;975;;1223;47;;;1270;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
