land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Großbritannien;;65;77;0;;77;39;;44;0;;;44;
Deutschland;;1116;1379;17;;1396;701;;895;12;;;907;
Sonstiges Asien;;52;59;0;;59;8;;10;0;;;10;
Taiwan;;0;0;0;;0;0;;0;0;;;0;
Niederlande;;45;52;3;;55;31;;37;3;;;40;
Österreich;;9;14;0;;14;6;;8;0;;;8;
Frankreich;;39;41;2;;43;35;;37;2;;;39;
Arabische Golfstaaten;;33;49;0;;49;1;;2;0;;;2;
Tschech. Republik;;1;2;0;;2;1;;2;0;;;2;
Griechenland;;4;4;0;;4;2;;2;0;;;2;
Belgien;;11;13;0;;13;8;;9;0;;;9;
Luxemburg;;2;2;0;;2;2;;2;0;;;2;
Schweiz;;15;21;2;;23;11;;15;2;;;17;
Dänemark;;3;4;1;;5;3;;4;1;;;5;
Japan;;3;3;0;;3;0;;0;0;;;0;
Norwegen;;5;5;0;;5;1;;1;0;;;1;
Spanien;;15;15;0;;15;5;;5;0;;;5;
USA;;49;53;3;;56;23;;26;3;;;29;
Italien;;12;12;0;;12;6;;6;0;;;6;
China, VR und Hongkong;;20;20;0;;20;7;;7;0;;;7;
Sonstiges Europa;;3;5;0;;5;3;;5;0;;;5;
Türkei;;3;3;0;;3;2;;2;0;;;2;
Australien;;1;1;0;;1;1;;1;0;;;1;
;;2;2;0;;2;1;;1;0;;;1;
Israel;;7;7;0;;7;3;;3;0;;;3;
Polen;;47;49;0;;49;10;;11;0;;;11;
Russland;;4;4;0;;4;3;;3;0;;;3;
Schweden;;52;52;0;;52;9;;9;0;;;9;
;;;;;;;;;;;;;;
Total;;1618;1948;28;;1976;922;;1147;23;;;1170;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
