land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Irland;;5;5;0;;5;1;;1;0;;;1;;;
Taiwan;;4;4;0;;4;1;;1;0;;;1;;;
Belgien;;11;17;0;;17;9;;13;0;;;13;;;
Australien;;12;20;0;;20;3;;4;0;;;4;;;
Kanada;;0;0;0;;0;0;;0;0;;;0;;;
Slowenien;;9;11;0;;11;3;;4;0;;;4;;;
Spanien;;1;1;0;;1;1;;1;0;;;1;;;
Tschech. Republik;;2;2;0;;2;2;;2;0;;;2;;;
Großbritannien;;174;180;3;;183;87;;90;1;;;91;;;
Ungarn;;2;2;0;;2;2;;2;0;;;2;;;
Schweden;;7;7;0;;7;2;;2;0;;;2;;;
Deutschland;;858;1067;21;;1088;600;;754;13;;;767;;;
Sonstiges Asien;;40;40;0;;40;3;;3;0;;;3;;;
Lettland;;1;2;0;;2;1;;2;0;;;2;;;
Norwegen;;1;2;0;;2;1;;2;0;;;2;;;
Polen;;1;2;0;;2;1;;2;0;;;2;;;
Russland;;8;11;0;;11;3;;4;0;;;4;;;
Süd Afrika;;3;3;0;;3;1;;1;0;;;1;;;
Österreich;;23;25;0;;25;7;;9;0;;;9;;;
Finland;;3;3;0;;3;1;;1;0;;;1;;;
Frankreich;;29;30;0;;30;18;;19;0;;;19;;;
Sonstiges Europa;;1;2;0;;2;1;;2;0;;;2;;;
Sonstiges Afrika;;2;2;0;;2;1;;1;0;;;1;;;
Japan;;1;1;0;;1;1;;1;0;;;1;;;
Luxemburg;;;0;0;;0;0;;0;0;;;0;;;
Niederlande;;47;51;2;;53;30;;33;1;;;34;;;
USA;;60;64;0;;64;16;;18;0;;;18;;;
Dänemark;;2;4;0;;4;2;;4;0;;;4;;;
China, VR und Hongkong;;26;26;0;;26;3;;3;0;;;3;;;
Sonstiges Südamerika;;3;6;0;;6;2;;4;0;;;4;;;
Schweiz;;10;16;0;;16;6;;8;0;;;8;;;
Italien;;20;20;0;;20;11;;11;0;;;11;;;
Arabische Golfstaaten;;6;7;0;;7;2;;2;0;;;2;;;
;;;;;;;;;;;;;;;;
Total;;1372;1633;26;;1659;822;;1004;15;;;1019;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
