land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Deutschland;;1221;1480;16;;1496;816;;1016;13;;;1029;
Sonstiges Asien;;10;10;0;;10;4;;4;0;;;4;
Norwegen;;2;2;0;;2;1;;1;0;;;1;
Portugal;;3;3;0;;3;2;;2;0;;;2;
Belgien;;19;24;0;;24;17;;22;0;;;22;
;;3;3;0;;3;2;;2;0;;;2;
China, VR und Hongkong;;48;55;0;;55;11;;13;0;;;13;
Sonstiges Südamerika;;7;7;0;;7;2;;2;0;;;2;
Großbritannien;;60;66;3;;69;40;;43;1;;;44;
Finland;;5;5;0;;5;3;;3;0;;;3;
Ungarn;;5;5;0;;5;1;;1;0;;;1;
Irland;;7;10;1;;11;4;;6;1;;;7;
Israel;;2;2;0;;2;2;;2;0;;;2;
Tschech. Republik;;14;14;0;;14;4;;4;0;;;4;
Türkei;;6;7;0;;7;3;;4;0;;;4;
Österreich;;23;26;0;;26;13;;15;0;;;15;
Kanada;;6;8;0;;8;4;;5;0;;;5;
Polen;;2;2;0;;2;2;;2;0;;;2;
Russland;;1;1;0;;1;1;;1;0;;;1;
Schweden;;5;6;1;;7;4;;5;1;;;6;
Sonstiges Afrika;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Europa;;2;3;0;;3;2;;3;0;;;3;
Schweiz;;24;35;0;;35;11;;16;0;;;16;
Brasilien;;2;2;0;;2;1;;1;0;;;1;
Frankreich;;29;33;1;;34;20;;22;1;;;23;
Mittelamerika / Karibik;;11;11;0;;11;5;;5;0;;;5;
USA;;52;53;0;;53;20;;21;0;;;21;
Luxemburg;;7;7;0;;7;7;;7;0;;;7;
Süd Afrika;;2;2;0;;2;2;;2;0;;;2;
Spanien;;7;7;0;;7;4;;4;0;;;4;
Taiwan;;15;15;0;;15;3;;3;0;;;3;
Niederlande;;36;45;0;;45;29;;38;0;;;38;
Arabische Golfstaaten;;3;5;0;;5;2;;3;0;;;3;
Italien;;12;12;0;;12;8;;8;0;;;8;
Dänemark;;16;16;0;;16;2;;2;0;;;2;
;;;;;;;;;;;;;;
Total;;1668;1983;22;;2005;1053;;1289;17;;;1306;
