land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Großbritannien;;72;72;1;;73;40;;40;1;;;41;
Sonstiges Europa;;15;15;0;;15;5;;5;0;;;5;
Australien;;3;6;3;;9;1;;2;1;;;3;
Sonstiges Afrika;;2;2;0;;2;1;;1;0;;;1;
Finland;;1;1;0;;1;1;;1;0;;;1;
Japan;;31;31;0;;31;4;;4;0;;;4;
Polen;;24;24;0;;24;7;;7;0;;;7;
Neuseeland und Ozeanien;;1;2;0;;2;1;;2;0;;;2;
Belgien;;10;11;0;;11;7;;8;0;;;8;
China, VR und Hongkong;;46;46;0;;46;13;;13;0;;;13;
Irland;;7;9;2;;11;3;;4;1;;;5;
Arabische Golfstaaten;;0;0;0;;0;0;;0;0;;;0;
Sonstiges Südamerika;;9;9;0;;9;3;;3;0;;;3;
Griechenland;;4;7;3;;10;2;;3;1;;;4;
Lettland;;4;8;0;;8;1;;2;0;;;2;
Dänemark;;17;19;0;;19;6;;8;0;;;8;
Italien;;25;25;0;;25;13;;13;0;;;13;
Österreich;;15;15;0;;15;7;;7;0;;;7;
Deutschland;;896;1150;33;;1183;598;;754;26;;;780;
Russland;;9;12;1;;13;5;;8;1;;;9;
Schweiz;;20;28;0;;28;12;;17;0;;;17;
Mittelamerika / Karibik;;3;4;0;;4;1;;2;0;;;2;
;;1;1;0;;1;1;;1;0;;;1;
Brasilien;;29;29;0;;29;3;;3;0;;;3;
Norwegen;;2;2;0;;2;2;;2;0;;;2;
Süd Afrika;;10;12;0;;12;3;;4;0;;;4;
Spanien;;11;11;0;;11;6;;6;0;;;6;
Frankreich;;22;23;0;;23;11;;12;0;;;12;
Luxemburg;;7;8;0;;8;7;;8;0;;;8;
Schweden;;4;4;0;;4;3;;3;0;;;3;
Niederlande;;67;70;2;;72;51;;54;2;;;56;
Slowakische Republik;;2;2;0;;2;1;;1;0;;;1;
USA;;67;70;0;;70;20;;22;0;;;22;
Tschech. Republik;;7;7;0;;7;4;;4;0;;;4;
Israel;;4;5;0;;5;4;;5;0;;;5;
Sonstiges Asien;;5;5;0;;5;3;;3;0;;;3;
Türkei;;2;2;0;;2;2;;2;0;;;2;
;;;;;;;;;;;;;;
Total;;1454;1747;45;;1792;852;;1034;33;;;1067;
