land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Tschech. Republik;;1;1;0;;1;1;;1;0;;;1;;;
Großbritannien;;79;94;0;;94;36;;42;0;;;42;;;
Deutschland;;616;774;19;;793;373;;485;10;;;495;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Luxemburg;;4;5;0;;5;4;;5;0;;;5;;;
Portugal;;3;3;0;;3;3;;3;0;;;3;;;
Spanien;;3;3;0;;3;2;;2;0;;;2;;;
Italien;;10;11;0;;11;6;;7;0;;;7;;;
China, VR und Hongkong;;4;4;0;;4;3;;3;0;;;3;;;
Frankreich;;37;38;2;;40;29;;30;2;;;32;;;
Sonstiges Asien;;33;33;0;;33;2;;2;0;;;2;;;
Schweden;;4;4;0;;4;3;;3;0;;;3;;;
Polen;;2;2;0;;2;2;;2;0;;;2;;;
Belgien;;10;17;0;;17;6;;10;0;;;10;;;
Ukraine;;1;2;0;;2;1;;2;0;;;2;;;
;;2;2;0;;2;1;;1;0;;;1;;;
Sonstiges Europa;;6;8;0;;8;4;;5;0;;;5;;;
Schweiz;;64;70;0;;70;17;;20;0;;;20;;;
Niederlande;;63;71;1;;72;39;;45;1;;;46;;;
Dänemark;;0;0;0;;0;0;;0;0;;;0;;;
Österreich;;39;57;12;;69;9;;13;1;;;14;;;
Finland;;1;2;0;;2;1;;2;0;;;2;;;
Mittelamerika / Karibik;;2;4;0;;4;1;;2;0;;;2;;;
Ungarn;;1;1;0;;1;1;;1;0;;;1;;;
Japan;;3;3;0;;3;1;;1;0;;;1;;;
Norwegen;;0;0;0;;0;0;;0;0;;;0;;;
Russland;;23;23;0;;23;9;;9;0;;;9;;;
USA;;54;54;0;;54;17;;17;0;;;17;;;
;;;;;;;;;;;;;;;;
Total;;1066;1287;34;;1321;572;;714;14;;;728;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
