land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Schweiz;;23;28;0;;28;12;;15;0;;;15;;;
Irland;;2;2;0;;2;1;;1;0;;;1;;;
Niederlande;;35;40;0;;40;28;;33;0;;;33;;;
Dänemark;;4;4;0;;4;4;;4;0;;;4;;;
Italien;;12;12;0;;12;9;;9;0;;;9;;;
Kanada;;1;2;0;;2;1;;2;0;;;2;;;
Frankreich;;20;22;0;;22;17;;19;0;;;19;;;
Ungarn;;0;0;0;;0;0;;0;0;;;0;;;
Belgien;;11;14;0;;14;9;;11;0;;;11;;;
Sonstiges Asien;;32;35;0;;35;7;;8;0;;;8;;;
Süd Afrika;;3;6;0;;6;1;;2;0;;;2;;;
Schweden;;19;19;0;;19;7;;7;0;;;7;;;
Australien;;8;10;0;;10;3;;4;0;;;4;;;
China, VR und Hongkong;;39;39;0;;39;7;;7;0;;;7;;;
Deutschland;;748;884;7;;891;513;;614;7;;;621;;;
USA;;32;37;0;;37;21;;24;0;;;24;;;
Österreich;;35;36;0;;36;12;;13;0;;;13;;;
Tschech. Republik;;2;4;0;;4;1;;2;0;;;2;;;
Norwegen;;2;2;0;;2;2;;2;0;;;2;;;
Polen;;1;1;0;;1;1;;1;0;;;1;;;
Sonstiges Südamerika;;1;2;0;;2;1;;2;0;;;2;;;
Sonstiges Afrika;;4;4;0;;4;2;;2;0;;;2;;;
Russland;;17;31;0;;31;3;;4;0;;;4;;;
Spanien;;2;2;0;;2;1;;1;0;;;1;;;
Arabische Golfstaaten;;38;62;0;;62;3;;4;0;;;4;;;
Großbritannien;;55;55;0;;55;37;;37;0;;;37;;;
Japan;;5;5;0;;5;2;;2;0;;;2;;;
Luxemburg;;9;9;0;;9;5;;5;0;;;5;;;
Mittelamerika / Karibik;;15;15;0;;15;1;;1;0;;;1;;;
;;;;;;;;;;;;;;;;
Total;;1175;1382;7;;1389;711;;836;7;;;843;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
