land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Brasilien;;27;27;0;;27;2;;2;0;;;2;;;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;;;
Finland;;1;1;0;;1;0;;0;0;;;0;;;
;;3;3;0;;3;1;;1;0;;;1;;;
China, VR und Hongkong;;16;17;2;;19;7;;8;2;;;10;;;
Portugal;;6;6;0;;6;2;;2;0;;;2;;;
Belgien;;12;12;0;;12;9;;9;0;;;9;;;
Großbritannien;;54;55;1;;56;32;;32;1;;;33;;;
Deutschland;;798;975;13;;988;500;;612;9;;;621;;;
Sonstiges Europa;;2;2;0;;2;2;;2;0;;;2;;;
Schweden;;6;6;0;;6;3;;3;0;;;3;;;
Schweiz;;23;33;1;;34;16;;21;1;;;22;;;
Sonstiges Afrika;;2;2;0;;2;0;;0;0;;;0;;;
Irland;;2;2;0;;2;1;;1;0;;;1;;;
Niederlande;;50;52;0;;52;39;;40;0;;;40;;;
Frankreich;;23;24;0;;24;13;;14;0;;;14;;;
USA;;81;84;0;;84;18;;19;0;;;19;;;
Japan;;21;21;0;;21;10;;10;0;;;10;;;
Sonstiges Asien;;19;19;0;;19;5;;5;0;;;5;;;
Luxemburg;;8;10;0;;10;8;;10;0;;;10;;;
Russland;;15;15;0;;15;5;;5;0;;;5;;;
Dänemark;;2;3;0;;3;2;;3;0;;;3;;;
Italien;;35;35;0;;35;24;;24;0;;;24;;;
Türkei;;2;2;0;;2;1;;1;0;;;1;;;
Tschech. Republik;;7;7;0;;7;4;;4;0;;;4;;;
Griechenland;;1;1;0;;1;0;;0;0;;;0;;;
Norwegen;;4;5;0;;5;3;;4;0;;;4;;;
Österreich;;27;33;0;;33;15;;18;0;;;18;;;
Mittelamerika / Karibik;;5;5;0;;5;2;;2;0;;;2;;;
Polen;;4;5;0;;5;2;;3;0;;;3;;;
Spanien;;11;11;0;;11;4;;4;0;;;4;;;
;;;;;;;;;;;;;;;;
Total;;1268;1474;17;;1491;731;;860;13;;;873;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
