land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Frankreich;;43;43;0;;43;34;;34;0;;;34;;;
Italien;;23;23;0;;23;11;;11;0;;;11;;;
Türkei;;2;2;0;;2;1;;1;0;;;1;;;
Schweden;;7;7;0;;7;3;;3;0;;;3;;;
Belgien;;19;20;0;;20;14;;15;0;;;15;;;
Arabische Golfstaaten;;0;0;0;;0;0;;0;0;;;0;;;
Sonstiges Afrika;;2;2;0;;2;1;;1;0;;;1;;;
Dänemark;;10;10;0;;10;5;;5;0;;;5;;;
China, VR und Hongkong;;38;49;0;;49;9;;10;0;;;10;;;
Sonstiges Asien;;2;2;0;;2;2;;2;0;;;2;;;
Polen;;5;7;0;;7;4;;5;0;;;5;;;
USA;;67;67;0;;67;16;;16;0;;;16;;;
Tschech. Republik;;5;10;0;;10;2;;4;0;;;4;;;
Deutschland;;807;927;11;;938;571;;658;5;;;663;;;
Israel;;4;4;0;;4;2;;2;0;;;2;;;
Luxemburg;;8;8;0;;8;4;;4;0;;;4;;;
Norwegen;;1;1;0;;1;1;;1;0;;;1;;;
Süd Afrika;;3;3;0;;3;2;;2;0;;;2;;;
Niederlande;;69;73;0;;73;44;;48;0;;;48;;;
Finland;;3;3;0;;3;3;;3;0;;;3;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Österreich;;15;17;0;;17;11;;13;0;;;13;;;
Griechenland;;1;2;0;;2;1;;2;0;;;2;;;
Spanien;;3;3;0;;3;2;;2;0;;;2;;;
Schweiz;;12;19;0;;19;9;;13;0;;;13;;;
Brasilien;;6;12;0;;12;2;;4;0;;;4;;;
Sonstiges Europa;;3;6;0;;6;2;;4;0;;;4;;;
Großbritannien;;65;67;0;;67;36;;37;0;;;37;;;
;;;;;;;;;;;;;;;;
Total;;1224;1388;11;;1399;793;;901;5;;;906;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
