land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Belgien;;36;40;0;;40;19;;22;0;;;22;;;
Italien;;14;14;0;;14;8;;8;0;;;8;;;
Frankreich;;18;18;0;;18;14;;14;0;;;14;;;
Sonstiges Asien;;13;13;0;;13;1;;1;0;;;1;;;
Mittelamerika / Karibik;;1;2;0;;2;1;;2;0;;;2;;;
Brasilien;;2;2;0;;2;2;;2;0;;;2;;;
Polen;;3;3;0;;3;2;;2;0;;;2;;;
Süd Afrika;;3;3;0;;3;1;;1;0;;;1;;;
USA;;31;31;0;;31;12;;12;0;;;12;;;
Türkei;;1;1;0;;1;1;;1;0;;;1;;;
China, VR und Hongkong;;6;6;0;;6;3;;3;0;;;3;;;
Großbritannien;;80;81;0;;81;46;;47;0;;;47;;;
Irland;;6;6;0;;6;2;;2;0;;;2;;;
Russland;;2;4;0;;4;1;;2;0;;;2;;;
Dänemark;;33;42;1;;43;18;;23;1;;;24;;;
Australien;;6;6;0;;6;2;;2;0;;;2;;;
;;5;5;0;;5;1;;1;0;;;1;;;
Portugal;;2;2;0;;2;1;;1;0;;;1;;;
Spanien;;7;8;0;;8;5;;6;0;;;6;;;
Österreich;;4;6;0;;6;4;;6;0;;;6;;;
Arabische Golfstaaten;;9;9;0;;9;3;;3;0;;;3;;;
Sonstiges Afrika;;12;12;0;;12;5;;5;0;;;5;;;
Deutschland;;689;798;3;;801;492;;578;3;;;581;;;
Ungarn;;4;4;0;;4;3;;3;0;;;3;;;
Luxemburg;;21;21;0;;21;5;;5;0;;;5;;;
Schweden;;9;9;0;;9;6;;6;0;;;6;;;
Niederlande;;69;72;0;;72;44;;47;0;;;47;;;
Schweiz;;14;18;0;;18;10;;12;0;;;12;;;
;;;;;;;;;;;;;;;;
Total;;1100;1236;4;;1240;712;;817;4;;;821;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
